2004 Federal Election House of Representatives Two Party Preferred Flow of Preferences By State By Party [12246 8/11/2005 11:10:12 PM]
StateAb,PartyAb,PartyNm,Liberal/National Coalition Transfer Votes,Liberal/National Coalition Transfer Percentage,Australian Labor Party Transfer Votes,Australian Labor Party Transfer Percentage
NSW,LP,Liberal,7398,91.67,672,8.33
NSW,NP,The Nationals,9584,91.43,898,8.57
NSW,HAN,One Nation,28775,53.40,25106,46.60
NSW,GRN,The Greens,55047,17.68,256322,82.32
NSW,DEM,Democrats,16373,39.86,24699,60.14
NSW,CDP,CDP Christian Party,35090,74.45,12042,25.55
NSW,SAS,Save the ADI Site Party,1156,33.12,2334,66.88
NSW,CEC,Citizens Electoral Council,5193,45.16,6307,54.84
NSW,NGST,No GST,2711,37.50,4518,62.50
NSW,PLP,Progressive Labour Party,731,19.36,3044,80.64
NSW,LEF,Lower Excise Fuel and Beer Party,1063,52.96,944,47.04
NSW,NCP,Non-Custodial Parents Party,304,26.86,828,73.14
NSW,FPY,The Fishing Party,1136,45.15,1380,54.85
NSW,VET,"Ex-Service, Service & Veterans Party",1645,52.93,1463,47.07
NSW,FFP,Family First,17270,58.30,12351,41.70
NSW,LFF,liberals for forests,4914,60.18,3251,39.82
NSW,NCO,New Country Party,1401,49.61,1423,50.39
NSW,NDP,Nuclear Disarmament Party,71,20.82,270,79.18
NSW,ORP,Outdoor Recreation Party,1555,44.37,1950,55.63
NSW,SAL,Socialist Alliance,1047,23.71,3368,76.29
NSW,IND,Independent,78328,51.72,73108,48.28
NSW,NAFD,Non Affiliated,1278,49.59,1299,50.41
NSW,,First Preferences,1726629,55.00,1412418,45.00
VIC,DEM,Democrats,13490,41.68,18873,58.32
VIC,GRN,The Greens,37833,16.86,186590,83.14
VIC,NP,The Nationals,5934,88.89,742,11.11
VIC,HAN,One Nation,2355,57.17,1764,42.83
VIC,CEC,Citizens Electoral Council,7708,55.02,6302,44.98
VIC,CDP,CDP Christian Party,347,75.60,112,24.40
VIC,NGST,No GST,262,45.72,311,54.28
VIC,DLP,DLP - Democratic Labor Party,803,58.53,569,41.47
VIC,VET,"Ex-Service, Service & Veterans Party",277,52.56,250,47.44
VIC,FFP,Family First,48187,67.17,23548,32.83
VIC,SAL,Socialist Alliance,672,18.19,3022,81.81
VIC,ADP,The Aged and Disability Pensioners Party,131,45.96,154,54.04
VIC,IND,Independent,15443,51.39,14610,48.61
VIC,NAFD,Non Affiliated,1269,62.82,751,37.18
VIC,,First Preferences,1400939,53.49,1217921,46.51
QLD,LP,Liberal,8961,81.93,1977,18.07
QLD,NP,The Nationals,5515,84.15,1039,15.85
QLD,HAN,One Nation,26090,59.81,17529,40.19
QLD,DEM,Democrats,12618,41.71,17637,58.29
QLD,GRN,The Greens,27959,25.12,83355,74.88
QLD,CEC,Citizens Electoral Council,3684,46.80,4188,53.20
QLD,HMP,HEMP,330,41.93,457,58.07
QLD,VET,"Ex-Service, Service & Veterans Party",380,51.77,354,48.23
QLD,FFP,Family First,56212,69.55,24608,30.45
QLD,NCO,New Country Party,2807,70.35,1183,29.65
QLD,SAL,Socialist Alliance,334,26.70,917,73.30
QLD,TGA,The Great Australians,1736,61.47,1088,38.53
QLD,IND,Independent,45284,65.07,24305,34.93
QLD,NAFD,Non Affiliated,304,59.03,211,40.97
QLD,,First Preferences,1064319,58.17,765507,41.83
WA,HAN,One Nation,15832,57.26,11818,42.74
WA,GRN,The Greens,19047,22.65,65053,77.35
WA,DEM,Democrats,6860,42.09,9438,57.91
WA,CDP,CDP Christian Party,18477,74.96,6173,25.04
WA,NP,The Nationals,6017,87.27,878,12.73
WA,CEC,Citizens Electoral Council,2372,36.27,4167,63.73
WA,FFP,Family First,1417,54.10,1202,45.90
WA,NCO,New Country Party,1376,52.42,1249,47.58
WA,SAL,Socialist Alliance,843,52.04,777,47.96
WA,IND,Independent,7572,50.95,7289,49.05
WA,,First Preferences,528016,58.07,381200,41.93
SA,DEM,Democrats,7352,41.58,10330,58.42
SA,HAN,One Nation,5889,55.10,4798,44.90
SA,GRN,The Greens,10662,20.82,40538,79.18
SA,CEC,Citizens Electoral Council,158,58.52,112,41.48
SA,FFP,Family First,27763,68.47,12784,31.53
SA,NP,The Nationals,7721,80.34,1890,19.66
SA,IND,Independent,5928,30.87,13276,69.13
SA,,First Preferences,446372,56.33,346071,43.67
TAS,GRN,The Greens,5982,19.15,25260,80.85
TAS,CEC,Citizens Electoral Council,622,53.71,536,46.29
TAS,FFP,Family First,5230,58.29,3743,41.71
TAS,SAL,Socialist Alliance,271,24.46,837,75.54
TAS,,First Preferences,132724,48.50,140918,51.50
ACT,DEM,Democrats,1870,37.33,3140,62.67
ACT,GRN,The Greens,4008,17.86,18432,82.14
ACT,CEC,Citizens Electoral Council,403,52.68,362,47.32
ACT,SAL,Socialist Alliance,449,21.72,1618,78.28
ACT,,First Preferences,73508,41.22,104836,58.78
NT,DEM,Democrats,942,43.77,1210,56.23
NT,GRN,The Greens,1132,20.05,4514,79.95
NT,CEC,Citizens Electoral Council,115,48.94,120,51.06
NT,FFP,Family First,560,56.00,440,44.00
NT,IND,Independent,657,61.81,406,38.19
NT,NAFD,Non Affiliated,246,34.26,472,65.74
NT,,First Preferences,39855,49.76,40246,50.24
