2010 Federal Election House of Representatives Two Party Preferred Flow of Preferences By State By Party [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:52 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb	PartyAb	PartyNm	Australian Labor Party Transfer Votes	Australian Labor Party Transfer Percentage	Liberal/National Coalition Transfer Votes	Liberal/National Coalition Transfer Percentage
NSW	LP	Liberal	3309	11.04	26651	88.96
NSW	NP	The Nationals	907	20.40	3539	79.60
NSW	GRN	The Greens	323737	78.88	86668	21.12
NSW	CDP	CDP Christian Party	15756	28.89	38788	71.11
NSW	FFP	Family First	8614	49.36	8839	50.64
NSW	DEM	Democrats	6418	56.25	4991	43.75
NSW	CEC	Citizens Electoral Council	534	44.99	653	55.01
NSW	ON	One Nation	8704	45.38	10478	54.62
NSW	LDP	Liberal Democrats (LDP)	2785	31.19	6143	68.81
NSW	SAL	Socialist Alliance	2613	75.00	871	25.00
NSW	SEP	Socialist Equality Party	5289	58.08	3817	41.92
NSW	NCP	Non-Custodial Parents Party	1563	55.13	1272	44.87
NSW	AFN	Australia First Party (NSW) Incorporated	1658	49.13	1717	50.87
NSW	ASXP	Australian Sex Party	2112	66.42	1068	33.58
NSW	BAP	Building Australia Party	689	46.03	808	53.97
NSW	CA	Carers Alliance	799	54.80	659	45.20
NSW	CAL	Communist Alliance	462	70.43	194	29.57
NSW	SPA	Secular Party of Australia	1824	51.69	1705	48.31
NSW	TCS	The Climate Sceptics	128	46.55	147	53.45
NSW	IND	Independent	75032	43.39	97889	56.61
NSW	NAFD	Non Affiliated	654	47.02	737	52.98
NSW		First Preferences	1494490	46.01	1753607	53.99
VIC	GRN	The Greens	326692	81.17	75790	18.83
VIC	FFP	Family First	42223	42.33	57524	57.67
VIC	DEM	Democrats	2272	57.56	1675	42.44
VIC	CEC	Citizens Electoral Council	418	45.34	504	54.66
VIC	LDP	Liberal Democrats (LDP)	2083	26.57	5756	73.43
VIC	SAL	Socialist Alliance	1759	79.06	466	20.94
VIC	CDP	CDP Christian Party	191	30.22	441	69.78
VIC	SEP	Socialist Equality Party	1152	69.57	504	30.43
VIC	AFN	Australia First Party (NSW) Incorporated	125	42.37	170	57.63
VIC	ASXP	Australian Sex Party	3494	58.01	2529	41.99
VIC	SPA	Secular Party of Australia	2629	50.18	2610	49.82
VIC	IND	Independent	14217	53.60	12308	46.40
VIC	NAFD	Non Affiliated	311	60.27	205	39.73
VIC		First Preferences	1361416	51.92	1260720	48.08
QLD	GRN	The Greens	197554	75.84	62917	24.16
QLD	FFP	Family First	34056	36.70	58738	63.30
QLD	ON	One Nation	1719	43.84	2202	56.16
QLD	CEC	Citizens Electoral Council	483	33.04	979	66.96
QLD	LDP	Liberal Democrats (LDP)	1021	21.90	3641	78.10
QLD	SAL	Socialist Alliance	530	73.92	187	26.08
QLD	DLP	DLP - Democratic Labor Party	2690	58.61	1900	41.39
QLD	SPA	Secular Party of Australia	244	58.94	170	41.06
QLD	IND	Independent	30179	36.22	53131	63.78
QLD	NAFD	Non Affiliated	316	52.58	285	47.42
QLD		First Preferences	800712	41.46	1130525	58.54
WA	LP	Liberal	2186	6.99	29108	93.01
WA	GRN	The Greens	121554	76.88	36563	23.12
WA	CDP	CDP Christian Party	6073	21.82	21760	78.18
WA	FFP	Family First	8515	41.14	12183	58.86
WA	ON	One Nation	510	34.67	961	65.33
WA	NP	The Nationals	4715	24.10	14848	75.90
WA	CEC	Citizens Electoral Council	474	37.12	803	62.88
WA	SAL	Socialist Alliance	938	73.28	342	26.72
WA	SEP	Socialist Equality Party	276	69.35	122	30.65
WA	ASXP	Australian Sex Party	1160	56.31	900	43.69
WA	DLP	DLP - Democratic Labor Party	387	62.22	235	37.78
WA	TCS	The Climate Sceptics	210	38.96	329	61.04
WA	IND	Independent	2482	48.87	2597	51.13
WA		First Preferences	375381	40.20	558389	59.80
SA	GRN	The Greens	92551	78.86	24813	21.14
SA	FFP	Family First	18831	38.72	29807	61.28
SA	DEM	Democrats	4030	57.41	2990	42.59
SA	ON	One Nation	587	53.12	518	46.88
SA	LDP	Liberal Democrats (LDP)	888	31.34	1945	68.66
SA	SPA	Secular Party of Australia	190	61.29	120	38.71
SA	SAL	Socialist Alliance	381	48.47	405	51.53
SA	TCS	The Climate Sceptics	1624	46.07	1901	53.93
SA	IND	Independent	2754	54.15	2332	45.85
SA		First Preferences	399279	50.33	394003	49.67
TAS	GRN	The Greens	43566	79.15	11476	20.85
TAS	CEC	Citizens Electoral Council	469	55.97	369	44.03
TAS	SAL	Socialist Alliance	637	74.42	219	25.58
TAS	SPA	Secular Party of Australia	413	38.06	672	61.94
TAS	IND	Independent	9441	60.41	6186	39.59
TAS		First Preferences	143796	56.68	109908	43.32
ACT	GRN	The Greens	35965	83.75	6977	16.25
ACT	SPA	Secular Party of Australia	1283	58.99	892	41.01
ACT		First Preferences	100700	56.39	77880	43.61
NT	GRN	The Greens	8703	71.48	3472	28.52
NT	CEC	Citizens Electoral Council	640	27.46	1691	72.54
NT	ON	One Nation	770	51.16	735	48.84
NT	IND	Independent	1934	48.99	2014	51.01
NT		First Preferences	35589	48.14	38335	51.86
