2016 Federal Election House of Representatives Two Party Preferred Flow of Preferences By State By Party [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:06 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb	PartyAb	PartyNm	Liberal/National Coalition Transfer Votes	Liberal/National Coalition Transfer Percentage	Australian Labor Party Transfer Votes	Australian Labor Party Transfer Percentage
NSW	NP	The Nationals	4859	76.63	1482	23.37
NSW	GRN	The Greens	73295	18.76	317442	81.24
NSW	CDP	Christian Democratic Party	124262	73.11	45704	26.89
NSW	ON	One Nation	11796	42.83	15746	57.17
NSW	DLP	DLP - Democratic Labour Party	481	49.69	487	50.31
NSW	BTA	Bullet Train For Australia	1061	46.80	1206	53.20
NSW	AFN	Australia First Party (NSW) Incorporated	1271	44.36	1594	55.64
NSW	RUA	Rise Up Australia Party	390	38.73	617	61.27
NSW	CEC	Citizens Electoral Council	1309	46.93	1480	53.07
NSW	ASXP	Australian Sex Party	632	26.44	1758	73.56
NSW	NCP	Non-Custodial Parents Party	1392	38.00	2271	62.00
NSW	SPP	Sustainable Australia	312	51.49	294	48.51
NSW	SAL	Socialist Alliance	71	14.20	429	85.80
NSW	FUT	Science Party	5136	34.27	9852	65.73
NSW	AJP	Animal Justice Party	7859	37.98	12836	62.02
NSW	AAPP	Australian Antipaedophile Party	889	58.22	638	41.78
NSW	CYC	Australian Cyclists Party	111	24.13	349	75.87
NSW	ADVP	Australian Defence Veterans Party	769	53.11	679	46.89
NSW	ALA	Australian Liberty Alliance	7871	68.60	3602	31.40
NSW	CM	CountryMinded	667	49.89	670	50.11
NSW	DHJP	Derryn Hinch's Justice Party	1571	49.87	1579	50.13
NSW	DRF	Drug Law Reform	1394	31.54	3026	68.46
NSW	FFP	Family First	6301	53.74	5424	46.26
NSW	LDP	Liberal Democrats (LDP)	15107	74.67	5124	25.33
NSW	MAP	Mature Australia Party	862	48.35	921	51.65
NSW	XEN	Nick Xenophon Team	6586	40.95	9498	59.05
NSW	SOL	Online Direct Democracy	2402	41.56	3378	58.44
NSW	PIR	Pirate Party	486	38.57	774	61.43
NSW	REP	Renewable Energy Party	176	32.77	361	67.23
NSW	ASP	Shooters, Fishers and Farmers	1653	46.56	1897	53.44
NSW	SMK	Smokers Rights Party	506	37.68	837	62.32
NSW	SEP	Socialist Equality Party	433	32.98	880	67.02
NSW	TAP	The Arts Party	1064	33.90	2075	66.10
NSW	IND	Independent	79893	46.50	91902	53.50
NSW	NAFD	Non Affiliated	1276	59.96	852	40.04
NSW		First Preferences	1840964	53.32	1611549	46.68
VIC	LP	Liberal	26091	92.54	2103	7.46
VIC	NP	The Nationals	20547	79.49	5302	20.51
VIC	GRN	The Greens	75257	16.66	376443	83.34
VIC	ASXP	Australian Sex Party	3239	31.47	7054	68.53
VIC	FFP	Family First	26145	58.59	18478	41.41
VIC	RUA	Rise Up Australia Party	21758	54.97	17821	45.03
VIC	AUC	Australian Christians	6117	68.32	2836	31.68
VIC	LDP	Liberal Democrats (LDP)	9387	72.17	3619	27.83
VIC	CYA	Australian Country Party	4333	61.61	2700	38.39
VIC	AJP	Animal Justice Party	24348	37.49	40592	62.51
VIC	BTA	Bullet Train For Australia	459	40.33	679	59.67
VIC	SAL	Socialist Alliance	402	22.98	1347	77.02
VIC	CEC	Citizens Electoral Council	1202	61.89	740	38.11
VIC	AFN	Australia First Party (NSW) Incorporated	1482	45.85	1750	54.15
VIC	CYC	Australian Cyclists Party	193	50.00	193	50.00
VIC	AEQ	Australian Equality Party (Marriage)	1338	40.59	1958	59.41
VIC	AUP	Australian Progressives	133	47.16	149	52.84
VIC	DHJP	Derryn Hinch's Justice Party	6705	48.82	7030	51.18
VIC	DRF	Drug Law Reform	4559	39.77	6905	60.23
VIC	XEN	Nick Xenophon Team	929	46.29	1078	53.71
VIC	REP	Renewable Energy Party	1488	41.67	2083	58.33
VIC	ASP	Shooters, Fishers and Farmers	648	49.05	673	50.95
VIC	SEP	Socialist Equality Party	116	39.32	179	60.68
VIC	TAP	The Arts Party	197	36.35	345	63.65
VIC	VEP	Voluntary Euthanasia Party	420	43.17	553	56.83
