2019 Federal Election House of Representatives Two Party Preferred Flow of Preferences By State By Party [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:55 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb	PartyAb	PartyNm	Liberal/National Coalition Transfer Votes	Liberal/National Coalition Transfer Percentage	Australian Labor Party Transfer Votes	Australian Labor Party Transfer Percentage
NSW	NP	The Nationals	17276	84.85	3085	15.15
NSW	GRN	The Greens	70459	17.83	324779	82.17
NSW	UAPP	United Australia Party	99450	64.80	54027	35.20
NSW	CDP	Christian Democratic Party	72575	74.43	24938	25.57
NSW	SPP	Sustainable Australia	12549	45.80	14850	54.20
NSW	AJP	Animal Justice Party	12039	40.16	17942	59.84
NSW	ON	Pauline Hanson's One Nation	37527	63.11	21937	36.89
NSW	FACN	FRASER ANNING'S CONSERVATIVE NATIONAL PARTY	5294	69.17	2360	30.83
NSW	FUT	Science Party	3376	31.29	7415	68.71
NSW	LDP	Liberal Democrats (LDP)	15724	81.51	3567	18.49
NSW	SEP	Socialist Equality Party	523	37.65	866	62.35
NSW	AFN	Australia First Party (NSW) Incorporated	801	58.38	571	41.62
NSW	ABFA	Australian Better Families	1328	64.09	744	35.91
NSW	AWP	Australian Workers Party	984	58.71	692	41.29
NSW	IMO	Involuntary Medication Objectors (Vaccination/Fluoride) Party	429	36.39	750	63.61
NSW	NCP	Non-Custodial Parents Party	622	51.28	591	48.72
NSW	ASP	Shooters, Fishers and Farmers	9971	55.00	8158	45.00
NSW	GAP	The Great Australian Party	525	48.34	561	51.66
NSW	IND	Independent	78124	37.24	131639	62.76
NSW		First Preferences	1910065	54.91	1568223	45.09
VIC	LP	Liberal	15808	89.49	1857	10.51
VIC	NP	The Nationals	8461	88.71	1077	11.29
VIC	GRN	The Greens	69037	15.72	370132	84.28
VIC	UAPP	United Australia Party	85930	63.85	48651	36.15
VIC	AJP	Animal Justice Party	14761	35.71	26572	64.29
VIC	RUA	Rise Up Australia Party	6570	60.99	4202	39.01
VIC	DHJP	Derryn Hinch's Justice Party	12393	46.24	14410	53.76
VIC	FACN	FRASER ANNING'S CONSERVATIVE NATIONAL PARTY	8317	72.30	3187	27.70
VIC	SPP	Sustainable Australia	3150	46.26	3659	53.74
VIC	DLP	DLP - Democratic Labour Party	4709	41.32	6688	58.68
VIC	ON	Pauline Hanson's One Nation	22641	64.36	12536	35.64
VIC	REAS	Reason Australia	2776	31.21	6119	68.79
