Roy Morgan Research
Products & Tools
Services
Industries
Findings
Store
About
Search Icon
Login
Home
>
Morgan Polls
>
Federal Voting – Primary Voting Intention (%) (2013-2025)
Federal Voting – Primary Voting Intention (%) (2013-2025)
Federal Voting – Primary Voting Intention (%) (2013-2025)
Federal Voting – Government Confidence Rating (2012-2025)
New Zealand – Statistics NZ Employment Estimates (2001-2015)
New Zealand – Roy Morgan Research v Statistics NZ (2001-2015)
New Zealand – Roy Morgan NZ Employment Estimates (2001-2015)
New Zealand – Government Confidence (2007-2025)
New Zealand – National-Party-led Government v Parliamentary Opposition Parties
New Zealand – Party Voting Intention (2017-2025)
Consumer Confidence – Roy Morgan Indonesian CC
Consumer Confidence – ANZ-Roy Morgan New Zealand CC
Consumer Confidence – ANZ-Roy Morgan Asia-Pac CC
Consumer Confidence – ANZ-Roy Morgan Australian CC Monthly Ratings 1973-2026
Consumer Confidence – ANZ-Roy Morgan Australian CC – 2026 Summary
Consumer Confidence – ANZ-Roy Morgan Australian CC – Weekly Results
Business Confidence – Roy Morgan Business Confidence 2010-2026
Unemployment – ABS Employment Estimates (1992-2026)
Unemployment – Employment Estimates: ABS v Roy Morgan (1992-2026)
Unemployment – Roy Morgan Unemployment Methodology
Unemployment – Roy Morgan Unemployment & Under-employment Estimates (2005-2026)
Unemployment – Roy Morgan Employment Estimates (1999-2026)
Federal Voting – Two Party Preferred Voting Intention (%) (2016-2025)
Federal Voting – Primary Voting Intention (%) (2013-2025)
Federal Voting – Two Party Preferred Voting Intention (%) Long-term Trend (1901-2022)
Federal Voting – Primary Voting Intention (%) Long-term Trend (1901-2022)
Recent Election Results (%) 1996-2022

ALP	L-NP	The Greens	One Nation	NXT/Centre Alliance	Ind./Others
Election May 3, 2025	34.6	31.8 (4.0)	12.2	6.4	0.2	14.8
Election May 21, 2022	32.6	35.7 (3.8)	12.3	5.0	0.3	14.1
Election May 18, 2019	33.3	41.4 (4.8)	10.4	3.1	0.3	11.5
Election July 2, 2016	34.7	42.0 (4.8)	10.2	1.3	1.9	9.9
Election September 7, 2013	33.4	45.5 (4.3)	8.7	0.2	n/a	12.2
Election August 21, 2010	38.0	43.6 (3.7)	11.8	0.2	n/a	6.4
Election November 24, 2007	43.4	42.1 (5.9)	7.8	0.3	n/a	6.4
Election October 9, 2004	37.6	46.4 (5.9)	7.2	1.2	n/a	7.6
Election November 10, 2001	37.8	43.0 (5.6)	4.4	4.3	n/a	9.6
Election October 3^, 1998	40.1	39.5 (5.3)	2.1	8.4	n/a	9.9
Election March 2, 1996	38.8	47.3 (8.6)	1.7	0.3	n/a	11.9
Latest Roy Morgan Poll Results (%) 2022-2025

 

ALP	Liberal Party	National Party	Total L-NP	Total Others	Greens	Indepen-dents (ALL)	Other Parties (ALL)	Can’t say/ Refused
Change	+2.5	-1.5	+0.5	-1.0	-1.5	-0.5	+1.0	+0.5	+0.5
2025
May 5-31	37.0	26.5	4.5	31.0	32.0	11.5	8.5	14.5	6.0
May 3 (Federal Election)	34.5	28.0	4.0	32.0	33.5	12.0	7.5	14.0	5.5
April 27	34.0	32.5	2.0	34.5	32.0	13.0	18.5*	18.5*	5.5
April 20	34.5	31.0	2.5	33.5	31.5	14.5	7.5	9.5	6.0
April 13	32.0	30.0	3.5	33.5	34.5	14.5	10.0	10.0	6.0
April 4	32.5	29.0	4.0	33.0	34.5	13.5	9.0	12.0	5.0
March 30	32.0	31.0	4.5	35.0	33.0	13.0	10.5	9.5	5.0
March 23	33.5	30.5	5.0	35.5	31.0	12.0	10.0	9.0	7.0
March 16	32.5	30.0	4.0	34.0	33.5	13.5	10.5	9.5	5.0
March 9	30.0	32.5	4.0	36.5	33.5	14.0	10.5	9.5	5.0
March 2	28.5	35.5	4.5	40.0	31.5	13.5	10.5	7.5	5.5
February 23	31.5	33.5	3.0	36.5	32.0	13.5	10.0	9.0	7.5
February 16	28.5	36.0	3.5	39.5	32.5	12.5	10.0	10.0	8.0
February 9	29.0	36.5	4.0	40.5	30.5	11.0	10.0	9.5	9.5
February 2	30.0	34.5	4.0	38.5	31.5	11.5	10.5	9.5	6.0
 January 26	29.5	36.0	4.5	40.5	30.0	11.5	9.0	9.5	6.5
 January 19	28.5	38.0	4.0	42.0	29.5	13.0	8.5	8.0	8.5
 January 12	30.0	36.5	4.0	40.5	29.5	12.5	9.0	8.0	6.5
 January 5	31.0	36.5	4.0	40.5	28.5	12.0	9.0	7.0	8.5
2024
December 15	27.5	36.5	5.0	41.0	31.5	12.5	10.5	8.5	6.5
December 8	28.0	34.5	4.0	38.0	24.0	13.0	10.0	10.5	6.0
December 1	30.0	35.0	4.0	39.0	31.0	13.0	8.5	10.0	5.5
November 24	31.5	33.5	3.5	37.0	31.5	12.5	8.5	10.5	7.0
November 17	29.0	34.5	4.0	39.0	32.0	13.5	7.5	11.0	7.5
November 10	30.5	33.5	3.5	37.5	32.0	12.5	8.5	11.0	9.5
November 3	30.5	34.5	3.5	38.0	31.5	14.0	7.5	10.0	6.5
October 27	30.0	34.5	3.0	37.5	32.5	14.0	9.0	9.5	8.0
October 20	32.0	33.0	3.5	36.0	31.5	13.5	9.0	9.0	7.5
October 13	29.5	34.0	3.5	37.5	32.5	14.0	8.5	10.0	6.0
October 6	31.5	34.0	3.0	37.5	31.0	12.5	8.5	9.5	7.0
September 29	30.0	34.5	3.5	38.0	32.0	13.5	9.5	8.5	8.0
September 22	32.5	33.5	4.0	37.5	30.0	12.5	9.5	8.5	7.5
September 15	30.5	33.5	4.0	37.5	32.0	12.5	10.0	9.5	6.0
