Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
Adelaide,SA,ALP,48.67,51.33,-1.95,2004,1.33,1.95
Aston,VIC,LP,63.15,36.85,7.13,2004,-13.15,-7.13
Ballarat,VIC,ALP,47.77,52.23,1.02,2004,2.23,-1.02
Banks,NSW,ALP,48.94,51.06,1.83,2004,1.06,-1.83
Barker,SA,LP,69.88,30.12,3.25,2004,-19.88,-3.25
Barton,NSW,ALP,42.46,57.54,-1.52,2004,7.54,1.52
Bass,TAS,LP,52.63,47.37,4.69,2004,-2.63,-4.69
Cooper (fmr Batman),VIC,ALP,28.68,71.32,3.75,2004,21.32,-3.75
Bendigo,VIC,ALP,49.04,50.96,2.59,2004,0.96,-2.59
Bennelong,NSW,LP,54.33,45.67,-3.38,2004,-4.33,3.38
Berowra,NSW,LP,62.16,37.84,-3.49,2004,-12.16,3.49
Blair,QLD,LP,61.21,38.79,4.59,2004,-11.21,-4.59
Blaxland,NSW,ALP,37.13,62.87,2.34,2004,12.87,-2.34
Bonner,QLD,LP,50.51,49.49,2.4,2004,-0.51,-2.4
Boothby,SA,LP,55.37,44.63,-2,2004,-5.37,2
Bowman,QLD,LP,59.12,40.88,6.06,2004,-9.12,-6.06
Braddon,TAS,LP,51.13,48.87,7.09,2004,-1.13,-7.09
Bradfield,NSW,LP,68.51,31.49,-2.65,2004,-18.51,2.65
Brand,WA,ALP,45.35,54.65,5.4,2004,4.65,-5.4
Brisbane,QLD,ALP,46.1,53.9,-2.87,2004,3.9,2.87
Bruce,VIC,ALP,46.52,53.48,3,2004,3.48,-3
Calare,NSW,LP,51.1,48.9,-0.6346,2004,-1.1,0.6346
Calwell,VIC,ALP,41.81,58.19,7.04,2004,8.19,-7.04
Canberra,ACT,ALP,40.38,59.62,-0.18,2004,9.62,0.18
Canning,WA,LP,59.54,40.46,9.16,2004,-9.54,-9.16
Capricornia,QLD,ALP,44.86,55.14,0.38,2004,5.14,-0.38
Casey,VIC,LP,61.35,38.65,4.15,2004,-11.35,-4.15
Charlton,NSW,ALP,42.08,57.92,-1.26,2004,7.92,1.26
Chifley,NSW,ALP,37.02,62.98,2.31,2004,12.98,-2.31
Chisholm,VIC,ALP,47.35,52.65,0.03,2004,2.65,-0.03
Cook,NSW,LP,63.82,36.18,-0.18,2004,-13.82,0.18
Corangamite,VIC,LP,55.32,44.68,-0.05,2004,-5.32,0.05
Corio,VIC,ALP,44.36,55.64,2.87,2004,5.64,-2.87
Cowan,WA,ALP,49.22,50.78,4.73,2004,0.78,-4.73
Cowper,NSW,NP,56.45,43.55,1.72,2004,-6.45,-1.72
Cunningham,NSW,ALP,38.54,61.46,-0.81,2004,11.46,0.81
Curtin,WA,LP,64.62,35.38,0.71,2004,-14.62,-0.71
Dawson,QLD,NP,60.38,39.62,2.39,2004,-10.38,-2.39
Deakin,VIC,LP,54.97,45.03,3.37,2004,-4.97,-3.37
Clark (fmr Denison),TAS,ALP,36.71,63.29,0.97,2004,13.29,-0.97
Dickson,QLD,LP,57.83,42.17,1.81,2004,-7.83,-1.81
Dobell,NSW,LP,55.9,44.1,5.52,2004,-5.9,-5.52
Dunkley,VIC,LP,59.38,40.62,4.16,2004,-9.38,-4.16
Eden-Monaro,NSW,LP,52.14,47.86,0.45,2004,-2.14,-0.45
Fadden,QLD,LP,65.28,34.72,2.16,2004,-15.28,-2.16
Fairfax,QLD,LP,60.83,39.17,1.65,2004,-10.83,-1.65
Farrer,NSW,LP,69.82,30.18,3.45,2004,-19.82,-3.45
Fisher,QLD,LP,62.98,37.02,1.21,2004,-12.98,-1.21
Flinders,VIC,LP,61.11,38.89,3.67,2004,-11.11,-3.67
Forde,QLD,LP,62.98,37.02,6,2004,-12.98,-6
Forrest,WA,LP,60.45,39.55,2.84,2004,-10.45,-2.84
Fowler,NSW,ALP,28.64,71.36,0.13,2004,21.36,-0.13
Franklin,TAS,ALP,42.41,57.59,0.45,2004,7.59,-0.45
Fenner (fmr Fraser),ACT,ALP,36.67,63.33,-0.64,2004,13.33,0.64
Fremantle,WA,ALP,42.24,57.76,2.91,2004,7.76,-2.91
Gellibrand,VIC,ALP,35.05,64.95,5.46,2004,14.95,-5.46
Gilmore,NSW,LP,60.08,39.92,-4.55,2004,-10.08,4.55
Gippsland,VIC,NP,57.7,42.3,5.12,2004,-7.7,-5.12
Goldstein,VIC,LP,60.03,39.97,0.53,2004,-10.03,-0.53
Gorton,VIC,ALP,35.1,64.9,5.07,2004,14.9,-5.07
Grayndler,NSW,ALP,27.4,72.6,-1.31,2004,22.6,1.31
Greenway,NSW,LP,50.58,49.42,3.69,2004,-0.58,-3.69
Grey,SA,LP,63.82,36.18,3.17,2004,-13.82,-3.17
Griffith,QLD,ALP,41.37,58.63,-2.48,2004,8.63,2.48
Groom,QLD,LP,68.95,31.05,3.86,2004,-18.95,-3.86
Gwydir,NSW,NP,68.39,31.61,3.51,2004,-18.39,-3.51
Hasluck,WA,LP,51.82,48.18,3.6,2004,-1.82,-3.6
Herbert,QLD,LP,56.2,43.8,4.67,2004,-6.2,-4.67
Higgins,VIC,LP,58.76,41.24,0.37,2004,-8.76,-0.37
Hindmarsh,SA,ALP,49.94,50.06,-1.02,2004,0.06,1.02
Hinkler,QLD,NP,54.81,45.19,2.66,2004,-4.81,-2.66
