State,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
NSW,51.93,48.07,0.27,2004,-1.93,-0.27
VIC,51,49,3.14,2004,-1,-3.14
QLD,57.09,42.91,2.23,2004,-7.09,-2.23
WA,55.4,44.6,3.78,2004,-5.4,-3.78
SA,54.36,45.64,0.28,2004,-4.36,-0.28
TAS,45.81,54.19,3.54,2004,4.19,-3.54
ACT,38.46,61.54,-0.46,2004,11.54,0.46
NT,47.85,52.15,0.34,2004,2.15,-0.34
NSW,46.32,53.68,-5.61,2007,3.68,5.61
VIC,45.73,54.27,-5.27,2007,4.27,5.27
QLD,49.56,50.44,-7.53,2007,0.44,7.53
WA,53.26,46.74,-2.14,2007,-3.26,2.14
SA,47.6,52.4,-6.76,2007,2.4,6.76
TAS,43.79,56.21,-2.02,2007,6.21,2.02
ACT,36.6,63.4,-1.86,2007,13.4,1.86
NT,44.59,55.41,-3.26,2007,5.41,3.26
NSW,51.16,48.84,-4.84,2010,-1.16,-4.84
VIC,44.69,55.31,1.04,2010,5.31,1.04
QLD,55.14,44.86,-5.58,2010,-5.14,-5.58
WA,56.41,43.59,-3.15,2010,-6.41,-3.15
SA,46.82,53.18,0.78,2010,3.18,0.78
TAS,39.38,60.62,4.41,2010,10.62,4.41
ACT,38.33,61.67,-1.73,2010,11.67,-1.73
NT,49.26,50.74,-4.67,2010,0.74,-4.67
NSW,54.35,45.65,-3.19,2013,-4.35,-3.19
VIC,49.8,50.2,-5.11,2013,0.2,-5.11
QLD,56.98,43.02,-1.84,2013,-6.98,-1.84
WA,58.28,41.72,-1.87,2013,-8.28,-1.87
SA,52.36,47.64,-5.54,2013,-2.36,-5.54
TAS,48.77,51.23,-9.39,2013,1.23,-9.39
ACT,40.09,59.91,-1.76,2013,9.91,-1.76
NT,50.35,49.65,-1.09,2013,-0.35,-1.09
NSW,50.53,49.47,-3.82,2016,-0.53,3.82
VIC,48.17,51.83,-1.63,2016,1.83,1.63
QLD,54.1,45.9,-2.88,2016,-4.1,2.88
WA,54.66,45.34,-3.62,2016,-4.66,3.62
SA,47.73,52.27,-4.63,2016,2.27,4.63
TAS,42.64,57.36,-6.13,2016,7.36,6.13
ACT,38.87,61.13,-1.22,2016,11.13,1.22
NT,42.94,57.06,-7.41,2016,7.06,7.41
NSW,51.78,48.22,1.25,2019,-1.78,-1.25
VIC,46.86,53.14,-1.31,2019,3.14,1.31
QLD,58.44,41.56,4.34,2019,-8.44,-4.34
WA,55.55,44.45,0.89,2019,-5.55,-0.89
SA,49.29,50.71,1.56,2019,0.71,-1.56
TAS,44.04,55.96,1.4,2019,5.96,-1.4
ACT,38.39,61.61,-0.48,2019,11.61,0.48
NT,45.8,54.2,2.86,2019,4.2,-2.86
NSW,48.58,51.42,-3.2,2022,1.42,3.2
VIC,45.17,54.83,-1.69,2022,4.83,1.69
QLD,54.05,45.95,-4.39,2022,-4.05,4.39
WA,45,55,-10.55,2022,5,10.55
SA,46.03,53.97,-3.26,2022,3.97,3.26
TAS,45.67,54.33,1.63,2022,4.33,-1.63
ACT,33.05,66.95,-5.34,2022,16.95,5.34
NT,44.46,55.54,-1.34,2022,5.54,1.34
NSW,51.66,48.34,,2001,-3.32,3.2
VIC,47.86,52.14,,2001,4.28,1.39
QLD,54.86,45.14,,2001,-9.72,-1.81
WA,51.62,48.38,,2001,-3.24,-1.08
SA,54.08,45.92,,2001,-8.16,-0.97
TAS,42.27,57.73,,2001,15.46,0.41
ACT,38.92,61.08,,2001,22.16,-1.36
NT,47.51,52.49,,2001,4.98,1.92
NSW,48.46,51.54,,1998,3.08,4.1
VIC,46.47,53.53,,1998,7.06,3.23
QLD,53.05,46.95,,1998,-6.1,7.17
WA,50.54,49.46,,1998,-1.08,5.46
SA,53.11,46.89,,1998,-6.22,4.15
TAS,42.68,57.32,,1998,14.64,5.74
ACT,37.56,62.44,,1998,24.88,6.98
NT,49.43,50.57,,1998,1.14,0.94
NSW,52.56,47.44,,1996,-5.12,-6.94
VIC,49.7,50.3,,1996,0.6,-1.5
QLD,60.22,39.78,,1996,-20.44,-8.65
WA,56,44,,1996,-12,-2.02
SA,57.26,42.74,,1996,-14.52,-4.59
TAS,48.42,51.58,,1996,3.16,-3.07
ACT,44.54,55.46,,1996,10.92,-5.73
NT,50.37,49.63,,1996,-0.74,-5.68
NSW,45.62,54.38,,1993,8.76,
VIC,48.2,51.80,,1993,3.6,
QLD,51.57,48.43,,1993,-3.14,
WA,53.98,46.02,,1993,-7.96,
SA,52.67,47.33,,1993,-5.34,
TAS,45.35,54.65,,1993,9.3,
ACT,38.81,61.19,,1993,22.38,
NT,44.69,55.31,,1993,10.62
NSW,44.73,55.27,-3.85,2025,10.54,3.85
VIC,43.65,56.35,-1.52,2025,12.7,1.52
QLD,50.58,49.42,-3.47,2025,-1.16,3.47
WA,44.16,55.84,-0.84,2025,11.68,0.84
SA,40.8,59.2,-5.23,2025,18.4,5.23
TAS,36.66,63.34,-9.01,2025,26.68,9.01
ACT,27.51,72.49,-5.54,2025,44.98,5.54
NT,45.75,54.25,1.29,2025,8.5,-1.29
