date,election,sample,moe,mode,alp,coalition,democrats,greens,independents,one_nation,other,family_first,tpp_alp,tpp_coalition,tpp_flow_alp,tpp_flow_coalition,pm,pm_approve,pm_disapprove,pm_uncommitted,opp_leader,ol_approve,ol_disapprove,ol_uncommitted,ppm_pm,ppm_opp,ppm_uncommitted
1996-03-02,1,,,,39,47,7,2,4,,2,,47,53,,,howard,,,,,,,,,,
1996-05-05,,2058,2.2,phone,31,53,8,3,3,,1,,40,60,,,howard,61,18,21,beazley,48,23,29,61,25,14
1996-06-02,,2062,2.2,phone,35,49,8,3,4,,1,,45,55,,,howard,63,25,12,beazley,53,26,21,61,27,12
1996-06-16,,2063,2.2,phone,36,50,6,3,4,,1,,43,57,,,howard,64,23,13,beazley,48,26,25,61,26,14
1996-06-30,,2057,2.2,phone,36,46,7,4,5,,2,,46,54,,,howard,61,29,10,beazley,52,26,22,58,28,14
1996-07-14,,2055,2.2,phone,37,49,5,4,3,,2,,44,56,,,howard,60,28,13,beazley,52,25,24,59,27,14
1996-08-11,,2059,2.2,phone,39,45,7,3,4,,2,,49,51,,,howard,53,36,12,beazley,50,29,21,55,32,13
1996-08-25,,2057,2.2,phone,36,45,9,3,4,,2,,48,52,,,howard,,,,beazley,,,,53,33,14
1996-10-06,,2078,2.2,phone,35,48,8,3,5,,2,,45,55,,,howard,57,31,12,beazley,45,32,23,58,28,15
1996-11-03,,2060,2.2,phone,34,48,6,4,7,,2,,44,56,,,howard,,,,beazley,,,,56,28,16
1996-12-01,,2065,2.2,phone,37,47,6,3,5,,2,,46,54,,,howard,,,,beazley,,,,55,30,15
1997-01-19,,1956,2.2,phone,35,44,10,3,5,,3,,47,53,,,howard,,,,beazley,,,,54,29,17
1997-02-16,,2053,2.2,phone,36,46,8,4,5,,1,,46,54,,,howard,,,,beazley,,,,53,30,17
1997-04-13,,2064,2.2,phone,35,43,8,3,7,,4,,47,53,,,howard,,,,beazley,,,,51,31,18
1997-04-27,,2055,2.2,phone,36,44,8,3,5,,5,,48,52,,,howard,,,,beazley,,,,,,
1997-05-04,,1032,3.1,phone,34,38,8,4,3,10,2,,50,50,,,howard,,,,beazley,,,,,,
1997-05-25,,2065,2.2,phone,35,39,5,4,3,12,1,,50,50,,,howard,46,43,11,beazley,49,34,17,49,34,17
1997-08-17,,2053,2.2,phone,38,39,7,3,3,9,2,,51,49,,,howard,46,42,12,beazley,45,38,16,48,34,18
1997-10-12,,2057,2.2,phone,36,40,7,3,4,7,2,,50,50,,,howard,45,46,10,beazley,49,36,15,45,36,18
1997-10-18,,1230,2.8,phone,42,38,6,3,3,6,2,,53,47,,,howard,,,,beazley,,,,,,
1997-11-23,,2071,2.2,phone,42,36,5,4,4,7,2,,54,46,,,howard,41,51,8,beazley,54,32,13,41,43,16
1998-02-01,,2059,2.2,phone,45,37,5,3,2,5,2,,56,44,,,howard,44,44,12,beazley,54,31,15,43,41,16
1998-03-01,,2062,2.2,phone,40,38,6,3,3,6,3,,52,48,,,howard,47,40,14,beazley,51,31,18,45,35,20
1998-03-29,,2071,2.2,phone,41,40,6,3,3,6,2,,52,48,,,howard,41,48,11,beazley,52,32,16,41,40,18
1998-04-19,,2059,2.2,phone,41,38,4,2,4,9,2,,52,48,,,howard,,,,beazley,,,,,,
1998-05-24,,2054,2.2,phone,41,39,4,3,4,7,2,,52,48,,,howard,46,44,10,beazley,49,37,15,44,39,17
1998-06-21,,2075,2.2,phone,42,34,4,3,3,12,1,,56,44,,,howard,40,50,10,beazley,50,35,15,41,42,17
1998-07-19,,2067,2.2,phone,39,34,4,4,3,14,2,,56,44,,,howard,39,50,11,beazley,49,37,14,42,42,16
1998-08-15,,2072,2.2,phone,41,40,4,2,2,10,1,,52,48,,,howard,47,44,9,beazley,51,36,13,43,40,16
1998-09-01,,2083,2.2,phone,42,43,3,1,2,8,1,,51,49,,,howard,49,42,9,beazley,51,36,14,45,39,16
1998-09-09,,2077,2.2,phone,39,43,4,2,2,8,1,,49,51,,,howard,49,42,9,beazley,54,35,12,44,41,15
1998-09-16,,1960,2.2,phone,43,42,3,2,2,8,1,,52,48,,,howard,50,43,7,beazley,59,31,10,41,46,14
1998-09-23,,1988,2.2,phone,43,41,5,2,2,7,1,,52,48,,,howard,50,42,9,beazley,57,32,11,43,43,14
1998-09-29,,2029,2.2,phone,40,42,5,2,2,8,1,,50,50,,,howard,52,41,7,beazley,54,35,11,47,42,11
1998-10-01,,2025,2.2,phone,40,42,5,2,2,7,1,,50,50,,,howard,52,41,8,beazley,53,38,9,44,43,13
1998-10-03,1,,,,40,40,5,2,2,8,3,,51,49,,,howard,,,,,,,,,,
1999-02-27,,2063,2.2,phone,38,44,7,4,2,4,1,,49,51,,,howard,52,37,11,beazley,53,33,13,48,38,14
1999-04-11,,2059,2.2,phone,39,41,7,4,3,5,2,,51,49,,,howard,54,35,10,beazley,54,33,13,48,37,15
