id,date,title,n,fieldwork,alp,coalition,dem,oth,und,tpp_alp,pm,pm_pct,opp,opp_pct,note,url
131180529,1990-02-21,And now for the first test,,"over the weekends of February 3-4 and 10-11, before the March 24 poll date was announced and du",38,32,9,,11,,Hawke,44,Peacock,16,,https://trove.nla.gov.au/newspaper/article/131180529
132379816,1992-05-16,Opinions on flag are unchanged POLL WATCH,988,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/132379816
132380600,1992-05-20,Govt and Opposition 'run neck and neck',1264,"over four weekends, from April 17 to last Sunday",40,40,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/132380600
126928543,1992-06-13,Labor 'would have won in NSW' POLL WATCH,4163,,37,3,,,,,,,,,state-title,https://trove.nla.gov.au/newspaper/article/126928543
126938585,1992-07-27,PM's popularity slumps,,,48,,,48,,10,,,,,,https://trove.nla.gov.au/newspaper/article/126938585
126941176,1992-09-07,Budget help to ALP: poll,,,39.5,,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/126941176
126953979,1992-11-07,POLL WATCH Keating tops Hewson,,,40,,,,,,Keating,37,Hewson,35,,https://trove.nla.gov.au/newspaper/article/126953979
126961780,1992-12-12,Labor seven points ahead POLL WATCH,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/126961780
126963602,1992-12-19,POLL WATCH Labor holds poll lead in both houses,,,43,38,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/126963602
126967958,1993-01-09,Coalition gains ground POLL WATCH,,"in mid-December, after the disclosure of the amended Fightback package, it shows an increase",14,42,,,32,,,,,,,https://trove.nla.gov.au/newspaper/article/126967958
126970231,1993-01-19,"Labor, Libs are equal favourites",,,43,42,,,,,Keating,41,Hewson,37,,https://trove.nla.gov.au/newspaper/article/126970231
126971123,1993-01-23,Polls show Labor is doing it tough,635,,43,42,3,6,,,,,,,,https://trove.nla.gov.au/newspaper/article/126971123
126972749,1993-01-30,Surveys show holiday volatility,,over three weekends in January,,45,,,,,Keating,49,Hewson,49,,https://trove.nla.gov.au/newspaper/article/126972749
126973231,1993-02-01,ALP stretches lead and people choose Keating,,,43,4,,14,23,,,,,,sum=84,https://trove.nla.gov.au/newspaper/article/126973231
126974207,1993-02-06,Polls fail to recognise clear leader POLL WATCH,,"in late January, showed Dr Hewson's approval rating at 27, compared with Mr Keating's 23",45,41,,,,,,,,,,https://trove.nla.gov.au/newspaper/article/126974207
126976907,1993-02-18,THE POLLS,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/126976907
126977063,1993-02-19,THE POLLS,,,,,,,,,,,,,no-figures,https://trove.nla.gov.au/newspaper/article/126977063
126977346,1993-02-20,THE POLLS,,,,49,,,9,,Keating,45,Hewson,,,https://trove.nla.gov.au/newspaper/article/126977346
127199003,1993-03-02,Full employment and no spending commitments in Liberal launch Hewson takes up GST fight,,"last weekend, shows the gap between the parties narrowing to one point on a two-party preferred",,,,,,49.5,,,,,,https://trove.nla.gov.au/newspaper/article/127199003
