id,date,masthead,title,match,excerpt,url
131180529,1990-02-21,The Canberra Times (ACT : 1926 - 1995),And now for the first test,AGB McNair,"…10-11, before the March 24 poll date was announced and during the period the Coalition suffered a series of setbacks, notably over its health policy. A more contemporary poll, by AGB:McNair and published in yesterday's Melbourne Herald, showed 38 per cent support for the ALP, 32 per cent for the Coalition, 9 per cent for the Democrats and 11 per cent undecided. The poll, conducted by phone last Saturday, had 44 per cent rating Mr Hawke as the better Prime Minister, with 16 per cent opting for Mr Peacock and 25 per cent ""don't knows"". Mr Hawke began his first campaign visit to Melbourne, the most critical city in the country in terms of marginal seats, with a news confere…",https://trove.nla.gov.au/newspaper/article/131180529
132379816,1992-05-16,The Canberra Times (ACT : 1926 - 1995),Opinions on flag are unchanged POLL WATCH,AGB McNair,Opinions on flag are unchanged POLL WATCH AGB McNair…,https://trove.nla.gov.au/newspaper/article/132379816
132380600,1992-05-20,The Canberra Times (ACT : 1926 - 1995),Govt and Opposition 'run neck and neck',AGB poll,"…t and Opposition 'run neck and neck' By ROSS PEAKE, Political Correspondent The Federal Government and the Opposition are running neck-and-neck, according to a poll out today. The AGB poll published in the Bulletin magazine says the ALP and the Coalition each have 40 per cent support in the electorate. The Prime Minister, Paul Keating, retains a narrow margin over the Opposition Leader, John Hewson, as preferred Prime Minister. The survey of 1264 electors was taken over four weekends, from April 17 to last Sunday. It reflects the effects of the Metherell affair in NSW, debate on changing the flag, and the early stages of the Marshall Islands affair, which led to the resig…",https://trove.nla.gov.au/newspaper/article/132380600
126928543,1992-06-13,The Canberra Times (ACT : 1926 - 1995),Labor 'would have won in NSW' POLL WATCH,AGB poll,"…t to 40, and her disapproval rating increased from 49 per cent to 54. In the federal arena, the Coalition's lead in the race for the Senate seat has been reduced by 3 per cent, an AGB poll, published in the Bulletin magazine, has found. The poll, of 4163 electors interviewed face-to-face nation-wide in May, found support for the Coalition down to 40 per cent, the Labor party also down two to 37 per cent.…",https://trove.nla.gov.au/newspaper/article/126928543
126938585,1992-07-27,The Canberra Times (ACT : 1926 - 1995),PM's popularity slumps,AGB poll,"…olls. His personal approval rating slumped in the wake of the issue of the June jobless data on July 9, according to Time magazine's Morgan Gallup Poll and the Bulletin magazine's AGB poll, reported on television news bulletins last night."" But the Coalition appeared to have gained little from the gloom over unemployment, although it retained a handy lead over Labor in both polls. The Seven Network said Time's poll showed the Coalition with a two-party preferred lead of 10 percentage points over Labor. Its primary vote was unchanged on the previous poll at 44 per cent. Continued on Page 2 Slump noted in Keating's , popularity Continued from Front Page The ALP's primary vo…",https://trove.nla.gov.au/newspaper/article/126938585
126941176,1992-09-07,The Canberra Times (ACT : 1926 - 1995),Budget help to ALP: poll,AGB poll,"…port for the ALP jumped 5.5 per cent to 39.5 per ccnt after the Budget's release - putting the Government in a better position than at the last election in March 1990. However, an AGB poll of NSW voters concerning the next federal election shows the federal Labor Party has lost its lead and fallen behind the Opposition. This poll, for The Bulletin, found the Coalition had moved ahead by three percentage points. Polling nationally, the survey showed the Coalition maintained a six-point lead over Labor, with both major parties and the Democrats falling one percentage point.…",https://trove.nla.gov.au/newspaper/article/126941176
126953979,1992-11-07,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Keating tops Hewson,AGB poll,"…owed that support for the Labor Party has climbed to 40 per cent, three percentage points behind the Liberal-National Coalition and the closest the parties have been all year. The AGB Poll published in The Bulletin found that only 27 per cent of respondents approve of Mr Keating — a drop of one point from the previous poll — a steady 45 per cent disapprove and 28 per cent remain uncommitted. According to this poll, Dr Hewson's approval also dropped one point to 27 per cent while his disapproval rating has increased two points to 40 per cent. Mr Keating was preferred prime minister for 38 per cent of respondents to this poll, a drop of three points, while 35 per cent prefe…",https://trove.nla.gov.au/newspaper/article/126953979
126961780,1992-12-12,The Canberra Times (ACT : 1926 - 1995),Labor seven points ahead POLL WATCH,AGB poll,"…r Keating and 30 per cent prefer Dr Hewson. Only with the over-40 voters is Dr, Hewson the preferred prime minister. He leads Mr Keating by about two points in that age group.. An AGB poll published in The Bulletin found that 75 per cent of people were concerned about the growing unemployment figures. The poll asked respondents to name the issues that concerned them. Sixty-five per cent said violence, 61 per cent health, 58 per cent education and 53 per cent .the environment. ' The poll then asked the respondents to-name the issue that concerned them most.' Twenty-eight per cent said unemployment, 14 per cent violence, 10 per cent health, 9 per cent education and 8 per ce…",https://trove.nla.gov.au/newspaper/article/126961780
126963602,1992-12-19,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Labor holds poll lead in both houses,AGB McNair,POLL WATCH Labor holds poll lead in both houses AGB McNair…,https://trove.nla.gov.au/newspaper/article/126963602
126967958,1993-01-09,The Canberra Times (ACT : 1926 - 1995),Coalition gains ground POLL WATCH,AGB McNair,Coalition gains ground POLL WATCH AGB McNair…,https://trove.nla.gov.au/newspaper/article/126967958
126970231,1993-01-19,The Canberra Times (ACT : 1926 - 1995),"Labor, Libs are equal favourites",AGB McNair,"…1995), Tuesday 19 January 1993, page 2 Labor, Libs are equal favourites The Federal Government and the Opposition are running neck and neck in popularity, according to the latest AGB McNair survey. It showed support for Labor was down two points to 43 per cent. The Opposition was unchanged on 42. The survey, to be published in The Bulletin magazine today, also showed little change in the preferred prime minister. The Prime Minister, Paul Keating, was unchanged on 41 per cent while the Opposition leader, John Hewson, was up one point to 37 per cent. The results contrast with a volatile poll published by Quadrant Research yesterday, showing Opposition support had slipped f…",https://trove.nla.gov.au/newspaper/article/126970231
126971123,1993-01-23,The Canberra Times (ACT : 1926 - 1995),Polls show Labor is doing it tough,AGB McNair,"…in both Canberra and Perth, being pulled back one percentage point by the Coalition in the federal arena and trailing by eight points in Western Australia, according to the latest AGB McNair polls. The polls, published in this week's Bulletin, show 41 per cent of those polled in early January prefer Paul Keating as Prime Minister, and 37 per cent John Hcwson — one point higher than in mid-Dccembcr. The parties were almost neck and neck, with support for Labor falling two percentage points to 43 per cent and support for the Coalition steady on 42 per cent. Support for the Australian Democrats was steady on 3 per cent, Independents were also steady on 6 per cent and unspeci…",https://trove.nla.gov.au/newspaper/article/126971123
126972749,1993-01-30,The Canberra Times (ACT : 1926 - 1995),Surveys show holiday volatility,Saulwick AGB McNair,"…n over three weekends in January. A graph published in The Australian Financial Review on Wednesday plotted the average figures of five recentlypublished polls — Morgan, Newspoll, Saulwick, AGB and Quadrant. This graph showed a slump in support for the Coalition in November, which prompted the alterations to Fightback, and the party's subsequent recovery. This graph put the Coalition slightly ahead with about 45 per ccnt support. However, the only conclusion the Financial Review drew was .that uthc race remains very close"". It also warned that the most recent polls were clouded because of Ihe distractions of the holiday season and the volatility in the political climate w…",https://trove.nla.gov.au/newspaper/article/126972749
126973231,1993-02-01,The Canberra Times (ACT : 1926 - 1995),ALP stretches lead and people choose Keating,AGB McNair,"…onday 1 February 1993, page 2 ALP stretches lead and people choose Keating SYDNEY: Labor has increased its lead over the federal 'Opposition by 4 per cent, according to the latest AGB McNairpolI in The Bulletin. The poll, conducted nationally over the last three weekends in January, showed that support for the federal ALP had increased to 45 per cent from 43 per cent in January, but support for the Coalition was down from 42 per cent to 41. At the beginning of the month the Coalition was only one point behind the ALP. Support for the minor parties and Independents declined from 15 per cent to 14 per cent. Voting in a state-by-state breakdown showed that the ALP held the s…",https://trove.nla.gov.au/newspaper/article/126973231
126974207,1993-02-06,The Canberra Times (ACT : 1926 - 1995),Polls fail to recognise clear leader POLL WATCH,AGB McNair,"…ate January, showed Dr Hewson's approval rating at 27, compared with Mr Keating's 23. Dr Hewson's disapproval rating was also lower than that of Mr Keating, 28 compared to 39. The AGB McNair poll, published in The Bulletin, shows federal Labor's support up two points to 45 per cent from early January and support for the Liberal and National parties down one point to 41 per cent. The poll, also conducted in January, showed Mr Keating's personal popular ity rating remaining at 31 per cent and Dr Hewson's dropping by 2 points to 29 per cent. Men preferred Mr Keating (47 per cent) over Dr Hewson ( 34 per cent) as prime minister, while women were more evenly split. Mr Keating…",https://trove.nla.gov.au/newspaper/article/126974207
126976907,1993-02-18,The Canberra Times (ACT : 1926 - 1995),THE POLLS,AGB McNair,"18 Feb 1993 - THE POLLS Canberra Times (ACT : 1926 - 1995), Thursday 18 February 1993, page 5 THE POLLS Saulwick appears la the Sydney Morning HtnU aid The Age; AGBMcNair io The Bulletin; Morgan is rime,'and Nempoll ia The Autniin. The Government received mixed signals from public-opinion poll results issued yesterday, the Newspoll suggesting that it had misjudged some key issues and the Saulwick poll indicating that it was doing better in marginal electorates than national polls indicated. The Newspoll data suggested that the Government's women's package, including the 30 per cent child-care rebate, had fallen flat in the electorate, voters continuing…",https://trove.nla.gov.au/newspaper/article/126976907
126977063,1993-02-19,The Canberra Times (ACT : 1926 - 1995),THE POLLS,AGB McNair,"19 Feb 1993 - THE POLLS Canberra Times (ACT : 1926 - 1995), Friday 19 February 1993, page 5 THE POLLS Saalwick appears in the Sydney Morning UtnU and The Age; AGBMcNair in The Bulletin; Morgan ia Time; isd Newipoll in The Australia*.…",https://trove.nla.gov.au/newspaper/article/126977063
126977346,1993-02-20,The Canberra Times (ACT : 1926 - 1995),THE POLLS,AGB McNair,"20 Feb 1993 - THE POLLS Canberra Times (ACT : 1926 - 1995), Saturday 20 February 1993, page 5 THE POLLS Bv NAOMI MAPSTONE The latest AGB McNair poll, published in the Bulletin, shows Mr Keating's attempts to sway the women's vote have been to no avail, with 27 j)er cent of those interviewed saying Mr Keating's policy initiatives for women made them less likely to vote for Labor, 21 percent saying they would be more likely to vote for Labor and 42 per cent saying it made' no difference at all. The poll, conducted after the first week of campaigning; used data from 302 telephone interviews. - < It also showed Labor's assault on…",https://trove.nla.gov.au/newspaper/article/126977346
127199003,1993-03-02,The Canberra Times (ACT : 1926 - 1995),Full employment and no spending commitments in Liberal launch Hewson takes up GST fight,AGB McNair,"…5 percent, Coalition 50.5 percent. The previous week's survey gave the Opposition a seven-point lead. Dr Hewson leads Mr Keating as preferred prime minister, 38-37. The Bulletin's AGB-McNair poll shows Labor making up five points to 45 per cent, with the Coalition static at 47 per cent. These latest polls confirm the trend revealed of two earlier polls this week that Labor is clawing back support, gaining momentum from its scare campaign against the GST. In a break with tradition, the Opposition began yesterday's launch with emotive appearances by five ""ordinary Australians"", who blamed the Prime Minister for their troubles. As well, Carolyn Hewson introduced her husband,…",https://trove.nla.gov.au/newspaper/article/127199003
127200877,1993-03-10,The Canberra Times (ACT : 1926 - 1995),ELECTION COUNTDOWN POLLS | Labor talks about life in Opposition,AGB McNair,"…the lead with 47 per cent compared to the ALP's 42 per cent, but translated this to a two-party preferred vote of SO per cent each. The Newspoll largely confirms the trend of the AGB-McNair poll published in this week's Bulletin magazine which has the parties level pegging on the primary vote at 46 per cent each, and the Morgan poll has the Coalition with a three-point lead in the primary vote. 1990 election campaign had settled, Labor Members freely admitted that they had expected to lose that campaign. Many were frankly surprised that the Labor Party had been returned to power on the basis of an astutely judged marginal scats campaign. The difference between 1990 and 1…",https://trove.nla.gov.au/newspaper/article/127200877
127202251,1993-03-16,The Canberra Times (ACT : 1926 - 1995),Women put their faith in Keating,AGB McNair,"…costs of a GST. All things considered -menstruation or not - women needed a Labor Government, or certainly had less to fear from a Labor Government. And so exit polls conducted by AGB McNair on Saturday at 42 seats around the country showed that 50 per cent of women in marginal seats had voted for the ALP. Research manager John Mitchell said it was the first election in which the female vote for Labor had equalled the male vote. Women traditionally vote conservative, and it was from that position that the Keating/Summers duo were serenading. Mitchell confirmed that the GST was what most prompted people to vote Labor, with Medicare and health second on the women's list of…",https://trove.nla.gov.au/newspaper/article/127202251
127203077,1993-03-20,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Voters decided before the campaign began,AGB McNair,"…POLL WATCH Voters decided before the campaign began Most voters decided who they would vote for even before the election campaign had begun, according to an exit poll conducted by AGB McNair and published in The Bulletin magazine. The poll found that 48 per ccnt of Coalition voters and 42 per cent of Labor voters had decided who they would vote for before the campaign began. Twenty-one per cent of Coalition voters had derided early in the campaign, compared with 19 per cent of Labor voters. Twenty-one per cent of Labor voters said they had decided in the last week or so of the campaign compared with 17 per ccnt of Coalition voters. Seventeen percent of Labor voters and 13…",https://trove.nla.gov.au/newspaper/article/127203077
127203699,1993-03-23,The Canberra Times (ACT : 1926 - 1995),Lib machine adds sting on ballot eve,AGB McNair,"…aid. ""People recognise that an inherendy unpopular man as Paul Keating, because of his political skills, was able to win an election that very few people thought he would win."" An AGB McNair telephone poll pub lished last night said Dr Hewson had a comfortable lead - 57 to 43 per cent - in the leadership race. Dr Hewson said his support had picked up in recent days and he denied a narrow win would mean continued uncertainty. He said he was not rushing the ballot ahead to prevent Mr Howard building support., Mr Goldsworthy said he wanted to overhaul the Liberal organisation with fewer but bigger branches dedicated to constant campaign ing. ""Whoever is elected leader and de…",https://trove.nla.gov.au/newspaper/article/127203699
127204689,1993-03-27,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Keating's approval rate peaks at 42pc,AGB McNair,"…slightly, from 10.6 per cent on election night to 12 per cent. The Newspoll data was collected from 1128 telephone interviews with random subjects from all Australian states. Two AGB McNair polls published in The Bulletin examined NSW and South Australian state politics. {n NSW, the approval rating of the Premier, John Fahey, has fallen 8 percentage points since November to 37 per cent. Mr Fahey's disapproval rating rose 7 percentage points to 24 per cent and the number of voters who preferred him as Premier fell by 2 to 45 per cent. Approval for the NSW Leader of the Opposition, Bob Carr, fell by 3 percentage points to 31 per cent and his disapproval rating rose by I to…",https://trove.nla.gov.au/newspaper/article/127204689
127205554,1993-03-31,The Canberra Times (ACT : 1926 - 1995),Keating support up since poll,AGB McNair,"…ting support up since poll Support for Labor and the Prime Minister, Paul Keating, surged after their March 13 election win, according to the first post-election opinion poll. The AGB McNair poll published in this week's Bulletin magazine shows Labor opening up a 12 percentage point lead, 50 per cent to 38 per cent, in a survey taken on the Sunday after the election and on the weekend of March 19-21. Its findings arc good news for Mr Keating's nominee as Attorney-General, Michael Lavarch, who is yet to win his south-east Queensland seat of Dickson where voting was delayed to April 17 by the death of a candidate. Science awards Awards will be presented today to journalists…",https://trove.nla.gov.au/newspaper/article/127205554
126982731,1993-04-17,The Canberra Times (ACT : 1926 - 1995),Labor keeps top spot in the polls POLL WATCH,AGB McNair,"…POLL WATCH The Keating Government remains nine percentage points ahead of the Opposition despite a decline in support for the ALP over the past two weeks, according to the latest AGB McNair poll published in The Bulletin. Support for the ALP decreased by one point to to 49 per cent and support for the Coalition increased by two points to 40 per cent, the poll showed. Paul Keating, now has an 18 percentage-point lead over John Hewson as preferred Prime Minister — the widest gap between the two since they took up the leadership of their parties. Forty-nine per cent of those surveyed, up one point, preferred Mr Keating, compared to 31 per ccnt, down two points, who favoured…",https://trove.nla.gov.au/newspaper/article/126982731
126983501,1993-04-21,The Canberra Times (ACT : 1926 - 1995),NSW Labor leads by 11pc,AGB McNair,"…ALP support in NSW climbed from 41 per cent in March to 50 per cent in April and the LiberalNational parties' support fell by 2 per cent to 39 per cent in April, according to the AGB McNair poll in The Bulletin today. As well, approval of Premier John Fahey fell two points to 35 per cent, and Opposition Leader Bob Carr's approval rating rose three points to 34 per cent. ALP support was strongest in Sydney, where 52 per cent said they would vote for Labor, compared with 38 per cent for the Government. But in the rest of the state support for both sides was even on 48 per cent. On the question of preferred Premier, 41 per cent (down four points) opted for Mr Fahey, and 36…",https://trove.nla.gov.au/newspaper/article/126983501
126984220,1993-04-24,The Canberra Times (ACT : 1926 - 1995),Gap wider between federal parties,AGB McNair,"…ncommitted. Newspoll used data from telephone interviews of 1121 voters across Australia. Support for the NSW Opposition rose nine points in a month to 50 per cent, The Bulletin's AGB McNair poll reports.…",https://trove.nla.gov.au/newspaper/article/126984220
126985225,1993-04-28,The Canberra Times (ACT : 1926 - 1995),Government support is on the increase,AGB McNair,"…s (ACT : 1926 - 1995), Wednesday 28 April 1993, page 4 Government support is on the increase The Federal Government widened its lead over the Coalition to 11 points in the lastest AGB McNair opinion poll published in this week's Bulletin magazine. Hie poll, taken in mid-April, showed a one-point increase in support for the ALP to 50 per cent from the last poll in early April, compared to the Coalition's 39 per cent — down one point Victoria was the only state in which the ALP did not maintain a lead. There, both sides were level on 46 per cent The Prime Minister, Paul Keating, maintained his 49 to 31 lead over the Opposition leader, John Hewson, as preferred prime ministe…",https://trove.nla.gov.au/newspaper/article/126985225
126985892,1993-05-01,The Canberra Times (ACT : 1926 - 1995),POLL WATCH Coalition trailing Govt by even more,AGB McNair,"…turday 1 May 1993, page 2 POLL WATCH Coalition trailing Govt by even more The federal Coalition has fallen further behind the Government in public opinion, according to the latest AGB McNairpoll published in The Bulletin. The Coalition is now 11 points behind, its support having declined by one point to 39 per cent. The Labor Party's support increased by one point to 50 per cent and support for the Australian Democrats remained steady at 3 per cent. Support for Independents increased by one point to 4 per cent and support for others was down one to 4. The approval rating of the Prime Minister, Paul Keating, increased by one point to 38 per cent and his disapproval rating…",https://trove.nla.gov.au/newspaper/article/126985892
126986870,1993-05-05,The Canberra Times (ACT : 1926 - 1995),FEDERAL POLITICS Nats play down republic split,AGB McNair,"…ee which has six Liberal frontbenchers. A survey yesterday found support for Australia becoming a republic has risen from 41 per cent to 45 per cent in the past year. However, the AGB McNair poll said more than 60 per cent of people surveyed believed the move towards a republic would causc social divisions. The Nationals' federal management committee reaffirmed last week the party's strong support for the constitutional monarchy. The Leader of the Opposition, John Hewson, has opened the way to change the Liberal Party's promonarchy policy by calling for wide debate among the grass-roots membership in the lead-up to the party's federal council meeting in August which will…",https://trove.nla.gov.au/newspaper/article/126986870
126987379,1993-05-08,The Canberra Times (ACT : 1926 - 1995),POLL WATCH 56pc predict republic by year 2001,AGB McNair,"…urday 8 May 1993, page 2 POLL WATCH 56pc predict republic by year 2001 A clear majority of voters thinks Australia will become a republic by the year 2001, according to the latest AGB McNair poll, published in The Bulletin. Fifty-six per cent of voters polled said Australia would become a republic by the year 2001. In.a separate question, 43 per cent said they believed it should become a republic. Thirty-six per cent were opposed to Australia becoming a republic, but only 25 per cent said they did not think Australia would become a republic by the year 2001. Ah overwhelming majority, 83 per cent, said they would prefer to have the people elect a president. Only 8 per cent…",https://trove.nla.gov.au/newspaper/article/126987379
126988868,1993-05-15,The Canberra Times (ACT : 1926 - 1995),Federal politicians' popularity declines POLL WATCH,AGB McNair,"…rime Minister, Paul Keating, is still well up as the preferred Prime Minister, with 48 per cent support, compared with the Opposition leader John Hewson's 30 per cent. This week's AGB McNair poll in The Bulletin showed that support for Labor was down three points to 47 per cent in late April, but the Government was still eight points ahead. The Coalition's support was steady on 39 per cent. The Australian Democrats gained one point to 4 per cent, and support for independents and ""others"" was also up one point to 5 per cent. Labor's support was strongest in NSW and Victoria, but it also led in South Australia. The Coalition led in Queensland and Western Australia. Mr Kcati…",https://trove.nla.gov.au/newspaper/article/126988868
126990297,1993-05-22,The Canberra Times (ACT : 1926 - 1995),"Keating, Labor slip, but still well in front POLL WATCH",AGB McNair,"…for both the Prime Minister, Paul Keating, and the federal Labor Party declined last month, but they still lead John Hewson and the Opposition comfortably, according to the latest AGB McNair poll, published in The Bulletin. Far more voters — 48 per cent — preferred Mr Keating as Prime Minister, although this had been 49 per cent in mid-April, than chose Dr Hewson (30 per cent). Support for Labor was down from 50 to 47 per cent and support for the Coalition was steady at 39 per cent. The Australian Democrats improved from 4 to 5 per cent. Mr Keating's approval rating declined from 38 to 37 per cent, but Dr Hewson's eased from 26 to 24 per cent. Mr Keating's disapproval rat…",https://trove.nla.gov.au/newspaper/article/126990297
126991118,1993-05-26,The Canberra Times (ACT : 1926 - 1995),Coalition refuses to overturn tax cuts,AGB McNair,"…ow the two groups were expected to interreact would be given by Mr Keating on Friday. Mr Keating has nominated an attack on long-term unemployment as one of his principal aims. An AGB McNair poll to be published in the Bulletin today shows support for the Federal Opposition rose two points in mid-May. The Coalition got the support of 41 per cent of respondents with the Leader of the Opposition, John Hewson, also improving his personal approval 1 rating. However Labor, with 48 per cent of the vote (up one point), still holds a comfortable sevenpercentage-point lead over the combined Liberal-National parties. Mr Keating's standing dropped one percentage point to 36 per cent…",https://trove.nla.gov.au/newspaper/article/126991118
