date,leader,role,approve,disapprove,undecided,net,printings,agreeing,disputed,date_basis,label,first_issue,issues
1973-06-15,snedden,opposition,38,31,31,7,1,1,0,month,"June",1973-12-01,nla.obj-1335338114
1973-06-15,whitlam,pm,47,34,19,13,1,1,0,month,"June",1973-12-01,nla.obj-1335338114
1973-07-15,snedden,opposition,37,34,29,3,1,1,0,month,"July",1973-12-01,nla.obj-1335338114
1973-07-15,whitlam,pm,48,35,17,13,1,1,0,month,"July",1973-12-01,nla.obj-1335338114
1973-08-15,snedden,opposition,35,37,28,-2,1,1,0,month,"Aug",1973-12-01,nla.obj-1335338114
1973-08-15,whitlam,pm,47,35,18,12,1,1,0,month,"Aug",1973-12-01,nla.obj-1335338114
1973-09-15,snedden,opposition,30,40,30,-10,1,1,0,month,"Sept",1973-12-01,nla.obj-1335338114
1973-09-15,whitlam,pm,47,35,18,12,1,1,0,month,"Sept",1973-12-01,nla.obj-1335338114
1973-10-15,hawke,other,45,34,21,11,1,1,0,month,"October",1974-05-18,nla.obj-1336596562
1973-10-15,snedden,opposition,32,45,23,-13,1,1,0,month,"Oct",1973-12-01,nla.obj-1335338114
1973-10-15,whitlam,pm,43,43,14,0,1,1,0,month,"Oct",1973-12-01,nla.obj-1335338114
1973-11-15,snedden,opposition,30,45,25,-15,2,1,1,month,"Nov",1973-12-01,nla.obj-1335338114 nla.obj-1336594625
1973-11-15,whitlam,pm,48,38,14,10,2,1,1,month,"Nov",1973-12-01,nla.obj-1335338114 nla.obj-1336594625
1973-12-15,snedden,opposition,46,36,18,10,1,1,0,month,"Dec",1974-04-20,nla.obj-1336594625
1973-12-15,whitlam,pm,45,41,14,4,1,1,0,month,"Dec",1974-04-20,nla.obj-1336594625
1974-01-15,snedden,opposition,30,44,26,-14,1,1,0,month,"Jan",1974-04-20,nla.obj-1336594625
1974-01-15,whitlam,pm,46,37,17,9,1,1,0,month,"Jan",1974-04-20,nla.obj-1336594625
1974-02-15,snedden,opposition,32,43,25,-11,6,6,0,month,"Feb",1974-04-20,nla.obj-1336594625 nla.obj-1336595172 nla.obj-1336595692 nla.obj-1336596040 nla.obj-1336596562 nla.obj-1340002870
1974-02-15,whitlam,pm,44,42,14,2,6,6,0,month,"Feb",1974-04-20,nla.obj-1336594625 nla.obj-1336595172 nla.obj-1336595692 nla.obj-1336596040 nla.obj-1336596562 nla.obj-1340002835
1974-03-15,snedden,opposition,32,42,26,-10,5,5,0,month,"March",1974-04-20,nla.obj-1336594625 nla.obj-1336595172 nla.obj-1336595692 nla.obj-1336596040 nla.obj-1336596562
