slug,kind,first_capture,wayback_url
fairfax-poll-21-jan-2016,commissioned,20160131142241,https://web.archive.org/web/20160131142241id_/http://www.galaxyresearch.com.au/fairfax-poll-21-jan-2016/
1-3-february-2013,federal,20130410031703,https://web.archive.org/web/20130410031703id_/http://www.galaxyresearch.com.au/1-3-february-2013/
1011-february-2016,federal,20160229064818,https://web.archive.org/web/20160229064818id_/http://www.galaxyresearch.com.au/1011-february-2016/
11-13-june-2013,federal,20140125152809,https://web.archive.org/web/20140125152809id_/http://www.galaxyresearch.com.au/11-13-june-2013/
1112-february-2014,federal,20140303071626,https://web.archive.org/web/20140303071626id_/http://www.galaxyresearch.com.au/1112-february-2014/
1112-mar-2015,federal,20150411202534,https://web.archive.org/web/20150411202534id_/http://www.galaxyresearch.com.au/1112-mar-2015/
12-13-november-2013,federal,20140125152653,https://web.archive.org/web/20140125152653id_/http://www.galaxyresearch.com.au/12-13-november-2013/
12-16-september-2012,federal,20130410031836,https://web.archive.org/web/20130410031836id_/http://www.galaxyresearch.com.au/12-16-september-2012/
12-march-2014,federal,20150304063313,https://web.archive.org/web/20150304063313id_/http://www.galaxyresearch.com.au/12-march-2014/
12-march-2014-2,federal,20150304063305,https://web.archive.org/web/20150304063305id_/http://www.galaxyresearch.com.au/12-march-2014-2/
13-14-november-2013,federal,20140125152538,https://web.archive.org/web/20140125152538id_/http://www.galaxyresearch.com.au/13-14-november-2013/
13-15-february-2013,federal,20130410031641,https://web.archive.org/web/20130410031641id_/http://www.galaxyresearch.com.au/13-15-february-2013/
13-february-2014,federal,20140303071347,https://web.archive.org/web/20140303071347id_/http://www.galaxyresearch.com.au/13-february-2014/
13-nov-2014,federal,20150303053155,https://web.archive.org/web/20150303053155id_/http://www.galaxyresearch.com.au/13-nov-2014/
14-15-august,federal,20150228230125,https://web.archive.org/web/20150228230125id_/http://www.galaxyresearch.com.au/14-15-august/
14-15-august-2013,federal,20140125152726,https://web.archive.org/web/20140125152726id_/http://www.galaxyresearch.com.au/14-15-august-2013/
14-january-2015-2,federal,20150228225744,https://web.archive.org/web/20150228225744id_/http://www.galaxyresearch.com.au/14-january-2015-2/
15-16-may-2012-3,federal,20130410031346,https://web.archive.org/web/20130410031346id_/http://www.galaxyresearch.com.au/15-16-may-2012-3/
1516-sep-2015,federal,20160120222137,https://web.archive.org/web/20160120222137id_/http://www.galaxyresearch.com.au/1516-sep-2015/
17-march-2014,federal,20150304063247,https://web.archive.org/web/20150304063247id_/http://www.galaxyresearch.com.au/17-march-2014/
1718-nov-2015,federal,20160120000519,https://web.archive.org/web/20160120000519id_/http://www.galaxyresearch.com.au/1718-nov-2015/
1819-feb-2015,federal,20150228225710,https://web.archive.org/web/20150228225710id_/http://www.galaxyresearch.com.au/1819-feb-2015/
1819-march-2015,federal,20150411202517,https://web.archive.org/web/20150411202517id_/http://www.galaxyresearch.com.au/1819-march-2015/
1819-nov-2014,federal,20141129053819,https://web.archive.org/web/20141129053819id_/http://www.galaxyresearch.com.au/1819-nov-2014/
1819-nov-2014-2,federal,20141202140049,https://web.archive.org/web/20141202140049id_/http://www.galaxyresearch.com.au/1819-nov-2014-2/
19-march-2015,federal,20150411202525,https://web.archive.org/web/20150411202525id_/http://www.galaxyresearch.com.au/19-march-2015/
1920-august-2015,federal,20150924020441,https://web.archive.org/web/20150924020441id_/http://www.galaxyresearch.com.au/1920-august-2015/
