date,john_howard,bob_hawke,paul_keating,andrew_peacock,john_hewson,alexander_downer,kim_beazley,simon_crean,mark_latham,kevin_rudd,malcolm_turnbull,brendan_nelson,tony_abbott,julia_gillard,bill_shorten,scott_morrison,anthony_albanese,uncommitted
1987-06-07,22,62,,,,,,,,,,,,,,,,16
1987-06-21,22,62,,,,,,,,,,,,,,,,16
1987-06-28,25,57,,,,,,,,,,,,,,,,18
1987-07-05,26,59,,,,,,,,,,,,,,,,15
1987-07-08,27,59,,,,,,,,,,,,,,,,14
1987-07-09,29,57,,,,,,,,,,,,,,,,14
1990-03-04,,52,,22,,,,,,,,,,,,,,26
1990-03-18,,54,,20,,,,,,,,,,,,,,26
1990-03-22,,55,,24,,,,,,,,,,,,,,21
1991-07-28,,38,,,35,,,,,,,,,,,,,27
1991-08-25,,40,,,35,,,,,,,,,,,,,25
1991-09-29,,41,,,33,,,,,,,,,,,,,26
1991-10-20,,39,,,32,,,,,,,,,,,,,29
1991-11-17,,38,,,33,,,,,,,,,,,,,29
1991-11-24,,32,,,40,,,,,,,,,,,,,28
1991-12-08,,32,,,43,,,,,,,,,,,,,25
1992-01-19,,,28,,43,,,,,,,,,,,,,29
1992-02-02,,,30,,45,,,,,,,,,,,,,25
1992-02-16,,,31,,44,,,,,,,,,,,,,25
1992-03-01,,,36,,40,,,,,,,,,,,,,24
1992-03-15,,,36,,42,,,,,,,,,,,,,22
1992-03-29,,,38,,37,,,,,,,,,,,,,25
1992-04-12,,,37,,35,,,,,,,,,,,,,28
1992-05-03,,,35,,39,,,,,,,,,,,,,26
1992-05-17,,,35,,39,,,,,,,,,,,,,26
1992-05-31,,,32,,40,,,,,,,,,,,,,28
1992-06-14,,,32,,38,,,,,,,,,,,,,30
1992-06-28,,,35,,37,,,,,,,,,,,,,28
1992-07-12,,,32,,38,,,,,,,,,,,,,30
1992-07-26,,,35,,39,,,,,,,,,,,,,26
1992-08-09,,,32,,40,,,,,,,,,,,,,28
1992-08-23,,,31,,40,,,,,,,,,,,,,29
1992-09-06,,,35,,34,,,,,,,,,,,,,31
1992-09-20,,,32,,37,,,,,,,,,,,,,31
1992-10-11,,,34,,38,,,,,,,,,,,,,28
1992-10-25,,,37,,36,,,,,,,,,,,,,27
1992-11-08,,,39,,35,,,,,,,,,,,,,26
1992-11-22,,,39,,32,,,,,,,,,,,,,29
1992-12-06,,,43,,30,,,,,,,,,,,,,27
1992-12-13,,,43,,34,,,,,,,,,,,,,23
1992-12-20,,,38,,35,,,,,,,,,,,,,27
1993-01-24,,,39,,38,,,,,,,,,,,,,23
1993-02-07,,,36,,38,,,,,,,,,,,,,26
1993-02-14,,,37,,42,,,,,,,,,,,,,21
1993-02-21,,,36,,41,,,,,,,,,,,,,23
1993-02-28,,,37,,38,,,,,,,,,,,,,25
1993-03-07,,,36,,42,,,,,,,,,,,,,22
1993-03-11,,,40,,41,,,,,,,,,,,,,19
1993-03-21,,,46,,32,,,,,,,,,,,,,22
1993-04-04,,,48,,32,,,,,,,,,,,,,20
1993-04-18,,,47,,30,,,,,,,,,,,,,23
1993-05-02,,,47,,30,,,,,,,,,,,,,23
1993-05-16,,,44,,31,,,,,,,,,,,,,25
1993-05-30,,,41,,31,,,,,,,,,,,,,28
1993-06-13,,,40,,32,,,,,,,,,,,,,28
1993-06-27,,,41,,30,,,,,,,,,,,,,29
1993-07-11,,,38,,36,,,,,,,,,,,,,26
1993-07-25,,,38,,34,,,,,,,,,,,,,28
1993-08-08,,,38,,31,,,,,,,,,,,,,31
1993-08-22,,,27,,43,,,,,,,,,,,,,30
1993-09-05,,,29,,41,,,,,,,,,,,,,30
1993-09-19,,,31,,41,,,,,,,,,,,,,28
1993-09-26,,,32,,43,,,,,,,,,,,,,25
1993-10-10,,,32,,39,,,,,,,,,,,,,29
1993-10-24,,,34,,37,,,,,,,,,,,,,29
1993-11-07,,,35,,36,,,,,,,,,,,,,29
1993-11-21,,,36,,34,,,,,,,,,,,,,30
1993-12-05,,,33,,40,,,,,,,,,,,,,27
1993-12-19,,,33,,34,,,,,,,,,,,,,33
1994-01-16,,,37,,32,,,,,,,,,,,,,31
1994-01-30,,,43,,33,,,,,,,,,,,,,24
1994-02-13,,,40,,32,,,,,,,,,,,,,28
1994-02-27,,,44,,30,,,,,,,,,,,,,26
1994-03-13,,,46,,25,,,,,,,,,,,,,29
1994-03-27,,,42,,30,,,,,,,,,,,,,28
1994-04-17,,,44,,29,,,,,,,,,,,,,27
1994-05-01,,,42,,28,,,,,,,,,,,,,30
1994-05-15,,,46,,28,,,,,,,,,,,,,26
1994-05-29,,,32,,,38,,,,,,,,,,,,30
1994-06-12,,,34,,,39,,,,,,,,,,,,27
1994-06-26,,,29,,,44,,,,,,,,,,,,27
1994-07-10,,,28,,,48,,,,,,,,,,,,24
1994-09-04,,,44,,,28,,,,,,,,,,,,28
1994-09-18,,,52,,,25,,,,,,,,,,,,23
1994-09-25,,,48,,,25,,,,,,,,,,,,27
1994-10-09,,,51,,,23,,,,,,,,,,,,26
1994-10-23,,,51,,,25,,,,,,,,,,,,24
1994-11-06,,,49,,,23,,,,,,,,,,,,28
1994-11-20,,,51,,,21,,,,,,,,,,,,28
1994-12-04,,,53,,,24,,,,,,,,,,,,23
1994-12-18,,,48,,,24,,,,,,,,,,,,28
1995-01-15,,,47,,,21,,,,,,,,,,,,32
1995-01-29,37,,42,,,,,,,,,,,,,,,21
1995-02-12,41,,35,,,,,,,,,,,,,,,24
1995-02-26,41,,35,,,,,,,,,,,,,,,24
1995-03-12,47,,35,,,,,,,,,,,,,,,18
1995-03-26,44,,34,,,,,,,,,,,,,,,22
1995-04-09,44,,38,,,,,,,,,,,,,,,18
1995-04-23,39,,41,,,,,,,,,,,,,,,20
1995-05-07,39,,41,,,,,,,,,,,,,,,20
1995-05-21,44,,39,,,,,,,,,,,,,,,17
1995-06-04,41,,40,,,,,,,,,,,,,,,19
1995-06-18,41,,34,,,,,,,,,,,,,,,25
1995-07-02,44,,38,,,,,,,,,,,,,,,18
1995-07-16,39,,38,,,,,,,,,,,,,,,23
1995-07-30,44,,37,,,,,,,,,,,,,,,19
1995-08-13,40,,40,,,,,,,,,,,,,,,20
1995-08-27,43,,38,,,,,,,,,,,,,,,19
1995-09-10,43,,37,,,,,,,,,,,,,,,20
1995-09-24,38,,36,,,,,,,,,,,,,,,26
1995-10-08,39,,38,,,,,,,,,,,,,,,23
1995-10-22,40,,38,,,,,,,,,,,,,,,22
1995-11-12,37,,40,,,,,,,,,,,,,,,23
1995-11-26,35,,40,,,,,,,,,,,,,,,25
1995-12-10,38,,37,,,,,,,,,,,,,,,25
1995-12-17,34,,42,,,,,,,,,,,,,,,24
1996-01-21,39,,39,,,,,,,,,,,,,,,22
1996-02-04,38,,42,,,,,,,,,,,,,,,20
1996-02-11,38,,42,,,,,,,,,,,,,,,20
1996-02-18,38,,42,,,,,,,,,,,,,,,20
1996-02-25,37,,43,,,,,,,,,,,,,,,20
1996-02-29,40,,45,,,,,,,,,,,,,,,15
1996-03-17,54,,,,,,22,,,,,,,,,,,24
1996-03-31,56,,,,,,20,,,,,,,,,,,24
1996-04-14,57,,,,,,19,,,,,,,,,,,24
1996-04-28,54,,,,,,20,,,,,,,,,,,26
1996-05-12,60,,,,,,18,,,,,,,,,,,22
1996-05-26,54,,,,,,20,,,,,,,,,,,26
1996-06-16,52,,,,,,22,,,,,,,,,,,26
1996-06-30,52,,,,,,24,,,,,,,,,,,24
1996-07-14,54,,,,,,24,,,,,,,,,,,22
1996-07-28,51,,,,,,25,,,,,,,,,,,24
1996-08-11,51,,,,,,26,,,,,,,,,,,23
1996-08-25,53,,,,,,24,,,,,,,,,,,23
1996-09-08,50,,,,,,25,,,,,,,,,,,25
1996-09-22,55,,,,,,25,,,,,,,,,,,20
1996-10-13,54,,,,,,23,,,,,,,,,,,23
1996-10-27,55,,,,,,21,,,,,,,,,,,24
1996-11-10,54,,,,,,22,,,,,,,,,,,24
1996-11-24,51,,,,,,22,,,,,,,,,,,27
1996-12-08,52,,,,,,24,,,,,,,,,,,24
1996-12-15,53,,,,,,24,,,,,,,,,,,23
1997-01-19,54,,,,,,22,,,,,,,,,,,24
1997-02-02,53,,,,,,23,,,,,,,,,,,24
1997-02-16,49,,,,,,24,,,,,,,,,,,27
1997-03-02,53,,,,,,23,,,,,,,,,,,24
1997-03-16,52,,,,,,24,,,,,,,,,,,24
1997-04-06,53,,,,,,24,,,,,,,,,,,23
1997-04-20,50,,,,,,24,,,,,,,,,,,26
1997-05-04,47,,,,,,25,,,,,,,,,,,28
1997-05-11,45,,,,,,22,,,,,,,,,,,33
1997-05-18,45,,,,,,27,,,,,,,,,,,28
1997-06-01,45,,,,,,26,,,,,,,,,,,29
1997-06-15,47,,,,,,25,,,,,,,,,,,28
1997-06-29,42,,,,,,30,,,,,,,,,,,28
1997-07-13,44,,,,,,31,,,,,,,,,,,25
1997-07-27,43,,,,,,29,,,,,,,,,,,28
1997-08-10,42,,,,,,29,,,,,,,,,,,29
1997-08-24,43,,,,,,29,,,,,,,,,,,28
1997-09-07,43,,,,,,31,,,,,,,,,,,26
1997-09-21,43,,,,,,29,,,,,,,,,,,28
1997-09-28,38,,,,,,33,,,,,,,,,,,29
1997-10-12,43,,,,,,30,,,,,,,,,,,27
1997-10-19,34,,,,,,35,,,,,,,,,,,31
1997-10-26,37,,,,,,38,,,,,,,,,,,25
1997-11-09,35,,,,,,38,,,,,,,,,,,27
1997-11-23,36,,,,,,40,,,,,,,,,,,24
1997-12-07,36,,,,,,38,,,,,,,,,,,26
1998-01-18,36,,,,,,37,,,,,,,,,,,27
1998-02-01,38,,,,,,37,,,,,,,,,,,25
1998-02-15,37,,,,,,37,,,,,,,,,,,26
1998-03-01,37,,,,,,36,,,,,,,,,,,27
1998-03-15,36,,,,,,36,,,,,,,,,,,28
1998-03-29,36,,,,,,35,,,,,,,,,,,29
1998-04-19,38,,,,,,35,,,,,,,,,,,27
1998-05-03,41,,,,,,34,,,,,,,,,,,25
1998-05-17,45,,,,,,36,,,,,,,,,,,19
1998-05-31,40,,,,,,36,,,,,,,,,,,24
1998-06-14,35,,,,,,36,,,,,,,,,,,29
1998-06-28,32,,,,,,38,,,,,,,,,,,30
1998-07-12,37,,,,,,36,,,,,,,,,,,27
1998-07-26,31,,,,,,39,,,,,,,,,,,30
1998-08-09,37,,,,,,38,,,,,,,,,,,25
1998-08-16,41,,,,,,36,,,,,,,,,,,23
1998-08-30,39,,,,,,37,,,,,,,,,,,24
1998-09-06,39,,,,,,36,,,,,,,,,,,25
1998-09-13,39,,,,,,39,,,,,,,,,,,22
1998-09-20,42,,,,,,37,,,,,,,,,,,21
1998-09-27,41,,,,,,39,,,,,,,,,,,20
1998-10-01,40,,,,,,41,,,,,,,,,,,19
