date,john_howard,bob_hawke,paul_keating,andrew_peacock,john_hewson,alexander_downer,kim_beazley,simon_crean,mark_latham,kevin_rudd,brendan_nelson,malcolm_turnbull,julia_gillard,tony_abbott,bill_shorten,scott_morrison,anthony_albanese,peter_dutton
1985-11-17,9,21,,,,,,,,,,,,,,,,
1985-12-01,-16,21,,,,,,,,,,,,,,,,
1985-12-15,-20,30,,,,,,,,,,,,,,,,
1986-01-26,-15,30,,,,,,,,,,,,,,,,
1986-02-23,-25,17,,,,,,,,,,,,,,,,
1986-03-23,-33,14,,,,,,,,,,,,,,,,
1986-04-20,-20,28,,,,,,,,,,,,,,,,
1986-05-18,-19,14,,,,,,,,,,,,,,,,
1986-06-22,-23,7,,,,,,,,,,,,,,,,
1986-07-20,-22,-1,,,,,,,,,,,,,,,,
1986-08-24,-11,7,,,,,,,,,,,,,,,,
1986-09-21,-11,-8,,,,,,,,,,,,,,,,
1986-10-19,-24,-5,,,,,,,,,,,,,,,,
1986-11-16,-29,-4,,,,,,,,,,,,,,,,
1986-12-14,-24,-8,,,,,,,,,,,,,,,,
1987-02-08,-34,2,,,,,,,,,,,,,,,,
1987-03-01,-34,-4,,,,,,,,,,,,,,,,
1987-03-15,-32,-4,,,,,,,,,,,,,,,,
1987-03-29,-30,0,,,,,,,,,,,,,,,,
1987-04-12,-30,6,,,,,,,,,,,,,,,,
1987-05-03,-27,6,,,,,,,,,,,,,,,,
1987-05-17,-25,18,,,,,,,,,,,,,,,,
1987-06-07,-28,12,,,,,,,,,,,,,,,,
1987-06-14,-25,17,,,,,,,,,,,,,,,,
1987-06-21,-29,11,,,,,,,,,,,,,,,,
1987-06-28,-22,11,,,,,,,,,,,,,,,,
1987-07-05,-21,9,,,,,,,,,,,,,,,,
1987-07-08,-17,12,,,,,,,,,,,,,,,,
1987-07-09,-12,10,,,,,,,,,,,,,,,,
1987-08-23,-3,19,,,,,,,,,,,,,,,,
1987-09-20,-8,15,,,,,,,,,,,,,,,,
1987-10-18,-5,5,,,,,,,,,,,,,,,,
1987-11-08,-10,13,,,,,,,,,,,,,,,,
1987-11-29,-11,11,,,,,,,,,,,,,,,,
1987-12-13,-14,18,,,,,,,,,,,,,,,,
1988-02-28,-16,-2,,,,,,,,,,,,,,,,
1988-03-27,-15,-6,,,,,,,,,,,,,,,,
1988-05-01,-26,0,,,,,,,,,,,,,,,,
1988-05-29,-22,2,,,,,,,,,,,,,,,,
1988-06-26,-24,10,,,,,,,,,,,,,,,,
1988-07-24,-28,8,,,,,,,,,,,,,,,,
1988-08-21,-34,12,,,,,,,,,,,,,,,,
1988-09-25,-35,10,,,,,,,,,,,,,,,,
1988-10-23,-33,10,,,,,,,,,,,,,,,,
1988-11-20,-31,15,,,,,,,,,,,,,,,,
1988-12-11,-26,13,,,,,,,,,,,,,,,,
1989-02-19,-25,-1,,,,,,,,,,,,,,,,
1989-03-19,-33,-9,,,,,,,,,,,,,,,,
1989-04-24,-31,-6,,,,,,,,,,,,,,,,
1989-05-07,-30,3,,,,,,,,,,,,,,,,
1989-05-21,,-8,,-28,,,,,,,,,,,,,,
1989-06-18,,-13,,-19,,,,,,,,,,,,,,
1989-06-25,,-25,,-21,,,,,,,,,,,,,,
1989-07-23,,-12,,-28,,,,,,,,,,,,,,
1989-08-27,,-4,,-30,,,,,,,,,,,,,,
1989-09-24,,-10,,-37,,,,,,,,,,,,,,
1989-10-22,,-14,,-36,,,,,,,,,,,,,,
1989-11-26,,-16,,-26,,,,,,,,,,,,,,
1989-12-10,,-10,,-28,,,,,,,,,,,,,,
1990-02-18,,-6,,-38,,,,,,,,,,,,,,
1990-03-04,,-11,,-41,,,,,,,,,,,,,,
1990-03-18,,-13,,-44,,,,,,,,,,,,,,
1990-03-22,,-10,,-37,,,,,,,,,,,,,,
1990-04-22,,-7,,,18,,,,,,,,,,,,,
1990-05-20,,-8,,,23,,,,,,,,,,,,,
1990-06-17,,-15,,,25,,,,,,,,,,,,,
1990-07-29,,-18,,,20,,,,,,,,,,,,,
1990-08-26,,-12,,,23,,,,,,,,,,,,,
1990-09-23,,-16,,,24,,,,,,,,,,,,,
1990-10-28,,-31,,,21,,,,,,,,,,,,,
1990-11-25,,-28,,,19,,,,,,,,,,,,,
1990-12-09,,-31,,,23,,,,,,,,,,,,,
1991-02-24,,-12,,,19,,,,,,,,,,,,,
1991-03-17,,-18,,,16,,,,,,,,,,,,,
1991-04-21,,-30,,,6,,,,,,,,,,,,,
1991-05-19,,-25,,,10,,,,,,,,,,,,,
1991-06-30,,-18,,,-1,,,,,,,,,,,,,
1991-07-28,,-23,,,15,,,,,,,,,,,,,
1991-08-25,,-23,,,11,,,,,,,,,,,,,
1991-09-29,,-21,,,1,,,,,,,,,,,,,
1991-10-20,,-29,,,-4,,,,,,,,,,,,,
