date,coalition,alp,greens,others,democrats,one_nation
1985-11-17,42,49,,2,7,
1985-12-01,42,49,,1,8,
1985-12-15,45,48,,,7,
1986-01-26,43,50,,2,5,
1986-02-23,42,50,,2,6,
1986-03-23,41,49,,2,8,
1986-04-20,41,51,,2,6,
1986-05-18,45,45,,2,8,
1986-06-22,43,49,,1,7,
1986-07-20,45,45,,2,8,
1986-08-24,43,46,,2,9,
1986-09-21,50,40,,1,9,
1986-10-19,47,43,,1,9,
1986-11-16,45,45,,3,7,
1986-12-14,47,46,,2,5,
1987-02-08,46,45,,3,6,
1987-03-01,46,45,,3,6,
1987-03-15,46,47,,3,4,
1987-03-29,43,51,,2,4,
1987-04-12,43,49,,2,6,
1987-05-03,48,46,,2,4,
1987-05-17,44,49,,2,5,
1987-06-07,41,53,,2,4,
1987-06-14,39,54,,3,4,
1987-06-21,45,50,,2,3,
1987-06-28,44,49,,3,4,
1987-07-05,43,49,,2,6,
1987-07-08,41,52,,1,6,
1987-07-09,43,48.5,,2,6.5,
1987-08-23,41,49,,2,8,
1987-09-20,41,47,,3,9,
1987-10-18,43,45,,3,9,
1987-11-08,43,45.5,,3.5,8,
1987-11-29,44,45,,3,8,
1987-12-13,43,45,,3,9,
1988-02-28,45,44,,3,8,
1988-03-27,48,38,,5,9,
1988-05-01,46,42,,4,8,
1988-05-29,46,42,,3,9,
1988-06-26,44,44,,3,9,
1988-07-24,43,43,,4,10,
1988-08-21,45,45,,3,7,
1988-09-25,44,44,,4,8,
1988-10-23,44,46,,4,6,
1988-11-20,44,44,,4,8,
1988-12-11,44,45,,4,7,
1989-02-19,42,45,,4,9,
1989-03-19,44,43,,4,9,
1989-04-24,43,42,,5,10,
1989-05-07,41,49,,4,6,
1989-05-21,45,40,,7,8,
1989-06-18,45,39,,7,9,
1989-06-25,44,40,,6,10,
1989-07-23,41,42,,7,10,
1989-08-27,45,42,,5,8,
1989-09-24,42.5,42.5,,6,9,
1989-10-22,43.5,41.5,,5.5,9.5,
1989-11-26,43,42,,6,9,
1989-12-10,40,44.5,,6,9.5,
1990-02-18,41,42,,5,12,
1990-03-04,39,42,,6,13,
1990-03-18,40,39,,4,17,
1990-03-22,39.5,41.5,,5,14,
1990-04-22,42,41,,4,13,
1990-05-20,45,39,,4,12,
1990-06-17,46,37,,5,12,
1990-07-29,45,38,,5,12,
1990-08-26,47,38,,5,10,
1990-09-23,46,37,,6,11,
1990-10-28,49,34,,6,11,
1990-11-25,50,34,,6,10,
1990-12-09,50,33,,5,12,
1991-02-24,49,35,,6,10,
1991-03-17,50,35,,6,9,
1991-04-21,48,35,,6,11,
1991-05-19,49,35,,7,9,
1991-06-30,48,38,,5,9,
1991-07-28,47,38,,6,9,
1991-08-25,47,39,,5,9,
1991-09-29,47,40,,5,8,
1991-10-20,47,37,,7,9,
1991-11-17,45,37,,8,10,
1991-11-24,53,35,,4,8,
1991-12-08,51,36,,6,7,
1992-01-19,48,38,,7,7,
1992-02-02,52,34,,6,8,
1992-02-16,52,35,,7,6,
1992-03-01,48,41,,5,6,
1992-03-15,48,39,,5,8,
1992-03-29,44,43,,4,9,
1992-04-12,45,40,,8,7,
1992-05-03,46,37,,9,8,
1992-05-17,48,36,,8,8,
1992-05-31,48,35,,9,8,
1992-06-14,47,37,,9,7,
1992-06-28,44,38,,9,9,
1992-07-12,45,38,,10,7,
1992-07-26,45,39,,9,7,
1992-08-09,48,36,,9,7,
1992-08-23,45,37,,11,7,
1992-09-06,43,40,,10,7,
1992-09-20,47,38,,8,7,
1992-10-11,48,39,,8,5,
1992-10-25,49,37,,8,6,
1992-11-08,41,45,,9,5,
1992-11-22,43,44,,7,6,
1992-12-06,40,47,,7,6,
1992-12-13,39,49,,7,5,
1992-12-20,42,47,,6,5,
1993-01-24,47,42,,5,6,
1993-02-07,45,40,,8,7,
1993-02-14,48,39.5,,5,7.5,
1993-02-21,49,42,,4,5,
1993-02-28,46,42.5,,5.5,6,
1993-03-07,47,42,,5,6,
1993-03-10,46.5,41,,6,6.5,
1993-03-11,45,44,,5,6,
1993-03-21,41,47,,5,7,
1993-04-04,42,48,,5,5,
1993-04-18,40,49,,5,6,
1993-05-02,41,50,,4,5,
1993-05-16,46,45,,5,4,
1993-05-30,44,45,,5,6,
1993-06-13,45,45,,4,6,
1993-06-27,45,44,,4,7,
1993-07-11,50,41,,4,5,
1993-07-25,45,43,,6,6,
1993-08-08,46,41,,7,6,
1993-08-22,54,31,,6,9,
1993-09-05,50,33,,5,12,
1993-09-19,49,36,,6,9,
1993-09-26,52,36,,4,8,
1993-10-10,48,37,,5,10,
1993-10-24,50,37,,4,9,
1993-11-07,51,37,,5,7,
1993-11-21,48,39,,5,8,
1993-12-05,47,39,,7,7,
1993-12-19,47,39,,6,8,
1994-01-16,50,38,,4,8,
1994-01-30,47,41,,6,6,
1994-02-13,48,42,,4,6,
1994-02-27,46,42,,5,7,
1994-03-13,42,45,,5,8,
