date,alp,coalition
1993-02-14,46.5,53.5
1993-02-21,47.5,52.5
1993-02-28,49.5,50.5
1993-03-07,50,50
1993-03-11,49.5,50.5
1996-01-21,46,54
1996-02-04,46,54
1996-02-11,46,54
1996-02-18,47.5,52.5
1996-02-25,46,54
1996-02-29,46.5,53.5
1998-09-06,51.5,48.5
1998-09-13,53,47
1998-09-20,52,48
1998-09-27,51,49
1998-10-01,53,47
2001-10-07,43.5,56.5
2001-10-14,44.5,55.5
2001-10-21,48,52
2001-10-28,46,54
2001-11-04,49,51
2001-11-08,47,53
2002-12-01,50,50
2002-12-15,48,52
2003-01-19,48,52
2003-02-02,49,51
2003-02-16,49,51
2003-03-02,49,51
2003-03-16,49,51
2003-03-23,47,53
2003-03-30,46,54
2003-04-13,45,55
2003-05-04,46,54
2003-05-18,46,54
2003-06-01,49,51
2003-06-22,46,54
2003-07-06,47,53
2003-07-20,47,53
2003-08-03,48,52
2003-08-17,48,52
2003-08-31,49,51
2003-09-14,49,51
2003-09-28,50,50
2003-10-19,51,49
2003-11-02,46,54
2003-11-16,50,50
2003-11-30,47,53
2003-12-07,49,51
2003-12-14,49,51
2004-01-18,50,50
2004-02-08,53,47
2004-02-22,50,50
2004-03-07,55,45
2004-03-21,55,45
2004-04-04,53,47
2004-04-18,53,47
2004-05-02,52,48
2004-05-16,54,46
2004-05-30,47,53
2004-06-20,52,48
2004-07-04,51,49
2004-07-18,51,49
2004-08-01,50,50
2004-08-15,54,46
2004-08-29,52,48
2004-09-05,50,50
2004-09-12,50,50
2004-09-19,52.5,47.5
2004-09-26,52,48
2004-10-03,49.5,50.5
2004-10-07,50,50
2004-11-21,47,53
2004-12-05,45,55
2004-12-19,48,52
2005-01-23,47,53
2005-02-06,46,54
2005-02-20,47,53
2005-03-06,48,52
2005-03-20,46,54
2005-04-03,51,49
2005-04-17,49,51
2005-05-01,48,52
2005-05-15,49,51
2005-05-29,47,53
2005-06-19,49,51
2005-07-03,50,50
2005-07-17,49,51
2005-07-31,51,49
2005-08-14,48,52
2005-08-28,51,49
2005-09-11,51,49
2005-09-25,47,53
2005-10-09,49,51
2005-10-23,54,46
2005-11-06,51,49
2005-11-20,54,46
2005-12-04,54,46
2005-12-18,51,49
2006-01-15,48,52
2006-01-29,48,52
2006-02-12,51,49
2006-02-26,51,49
2006-03-12,47,53
2006-03-26,53,47
2006-04-09,52,48
2006-04-30,49,51
2006-05-14,50,50
2006-05-28,52,48
2006-06-18,49,51
2006-07-02,53,47
2006-07-16,52,48
2006-07-30,50,50
2006-08-06,51,49
2006-08-13,49,51
2006-08-27,51,49
2006-09-10,53,47
2006-09-24,53,47
2006-10-15,52,48
2006-10-29,52,48
2006-11-12,50,50
2006-11-26,51,49
2006-12-10,55,45
2007-01-21,55,45
2007-02-04,56,44
2007-02-18,54,46
2007-03-04,57,43
2007-03-18,61,39
2007-04-01,57,43
2007-04-15,59,41
2007-04-29,57,43
2007-05-13,59,41
2007-05-20,57,43
2007-05-24,55,45
2007-05-27,60,40
2007-06-17,56,44
2007-07-08,56,44
2007-07-22,55,45
2007-08-05,56,44
2007-08-19,55,45
2007-09-02,59,41
2007-09-16,55,45
2007-09-30,56,44
2007-10-14,56,44
2007-10-21,58,42
2007-10-28,54,46
2007-11-04,53,47
2007-11-11,55,45
2007-11-18,54,46
2007-11-22,52,48
2008-01-20,58,42
2008-02-17,57,43
2008-03-02,63,37
2008-03-16,59,41
2008-04-06,59,41
2008-04-20,61,39
2008-05-04,57,43
2008-05-18,57,43
2008-06-01,57,43
2008-06-15,59,41
2008-06-29,55,45
2008-07-13,55,45
2008-07-27,57,43
2008-08-10,57,43
2008-08-24,56,44
2008-09-07,56,44
2008-09-21,55,45
2008-10-12,55,45
2008-10-26,54,46
2008-11-09,55,45
2008-11-23,55,45
2008-12-07,59,41
2009-01-18,54,46
2009-02-08,58,42
2009-02-22,58,42
2009-03-08,56,44
2009-03-22,56,44
2009-04-05,58,42
2009-04-19,58,42
2009-05-03,55,45
2009-05-17,56,44
2009-05-31,55,45
2009-06-14,53,47
2009-06-28,56,44
2009-07-12,55,45
2009-07-26,57,43
2009-08-09,57,43
2009-08-23,55,45
2009-09-06,55,45
2009-09-20,55,45
2009-10-01,58,42
2009-10-11,58,42
2009-10-18,59,41
2009-11-01,52,48
2009-11-15,56,44
2009-11-29,57,43
2009-12-06,56,44
2010-01-17,54,46
2010-01-31,52,48
2010-02-14,53,47
2010-02-28,52,48
2010-03-14,52,48
2010-03-28,56,44
2010-04-18,54,46
2010-05-02,49,51
2010-05-16,50,50
2010-05-30,51,49
2010-06-20,52,48
