dataset,question_id,question,visual,answer,dimension,key,date,value_pct,parties
opp_leader_performance,,,,Very good,overall,National,2021-04-16,5,
opp_leader_performance,,,,Very good,overall,National,2021-05-16,4,
opp_leader_performance,,,,Very good,overall,National,2021-06-13,4,
opp_leader_performance,,,,Very good,overall,National,2021-07-18,4,
opp_leader_performance,,,,Very good,overall,National,2021-08-22,4,
opp_leader_performance,,,,Very good,overall,National,2021-09-19,3.79,
opp_leader_performance,,,,Very good,overall,National,2021-10-24,5.24,
opp_leader_performance,,,,Very good,overall,National,2021-11-20,5.36,
opp_leader_performance,,,,Very good,overall,National,2022-01-15,6.91,
opp_leader_performance,,,,Very good,overall,National,2022-02-20,5.89,
opp_leader_performance,,,,Very good,overall,National,2022-04-03,7.08,
opp_leader_performance,,,,Very good,overall,National,2022-04-16,7.44,
opp_leader_performance,,,,Very good,overall,National,2022-04-30,6.46,
opp_leader_performance,,,,Very good,overall,National,2022-05-17,6.36,
opp_leader_performance,,,,Good,overall,National,2021-04-16,30,
opp_leader_performance,,,,Good,overall,National,2021-05-16,28,
opp_leader_performance,,,,Good,overall,National,2021-06-13,27,
opp_leader_performance,,,,Good,overall,National,2021-07-18,26,
opp_leader_performance,,,,Good,overall,National,2021-08-22,24.32,
opp_leader_performance,,,,Good,overall,National,2021-09-19,26.96,
opp_leader_performance,,,,Good,overall,National,2021-10-24,25.37,
opp_leader_performance,,,,Good,overall,National,2021-11-20,25.97,
opp_leader_performance,,,,Good,overall,National,2022-01-15,27.23,
opp_leader_performance,,,,Good,overall,National,2022-02-20,30.32,
opp_leader_performance,,,,Good,overall,National,2022-04-03,31.17,
opp_leader_performance,,,,Good,overall,National,2022-04-16,27.14,
opp_leader_performance,,,,Good,overall,National,2022-04-30,30.8,
opp_leader_performance,,,,Good,overall,National,2022-05-17,33.64,
opp_leader_performance,,,,Poor,overall,National,2021-04-16,25,
opp_leader_performance,,,,Poor,overall,National,2021-05-16,27,
opp_leader_performance,,,,Poor,overall,National,2021-06-13,27,
opp_leader_performance,,,,Poor,overall,National,2021-07-18,27,
opp_leader_performance,,,,Poor,overall,National,2021-08-22,26.67,
opp_leader_performance,,,,Poor,overall,National,2021-09-19,26.41,
opp_leader_performance,,,,Poor,overall,National,2021-10-24,24,
opp_leader_performance,,,,Poor,overall,National,2021-11-20,25.07,
opp_leader_performance,,,,Poor,overall,National,2022-01-15,23.86,
opp_leader_performance,,,,Poor,overall,National,2022-02-20,21.85,
opp_leader_performance,,,,Poor,overall,National,2022-04-03,24.58,
opp_leader_performance,,,,Poor,overall,National,2022-04-16,24.96,
opp_leader_performance,,,,Poor,overall,National,2022-04-30,25.9,
opp_leader_performance,,,,Poor,overall,National,2022-05-17,29.31,
opp_leader_performance,,,,Very poor,overall,National,2021-04-16,16,
opp_leader_performance,,,,Very poor,overall,National,2021-05-16,18,
opp_leader_performance,,,,Very poor,overall,National,2021-06-13,17,
opp_leader_performance,,,,Very poor,overall,National,2021-07-18,19,
opp_leader_performance,,,,Very poor,overall,National,2021-08-22,20.23,
opp_leader_performance,,,,Very poor,overall,National,2021-09-19,20.1,
opp_leader_performance,,,,Very poor,overall,National,2021-10-24,16.64,
opp_leader_performance,,,,Very poor,overall,National,2021-11-20,20.27,
opp_leader_performance,,,,Very poor,overall,National,2022-01-15,17.21,
opp_leader_performance,,,,Very poor,overall,National,2022-02-20,19.72,
opp_leader_performance,,,,Very poor,overall,National,2022-04-03,17.43,
opp_leader_performance,,,,Very poor,overall,National,2022-04-16,19.21,
opp_leader_performance,,,,Very poor,overall,National,2022-04-30,22.06,
opp_leader_performance,,,,Very poor,overall,National,2022-05-17,18.91,
opp_leader_performance,,,,Undecided,overall,National,2021-04-16,25,
opp_leader_performance,,,,Undecided,overall,National,2021-05-16,24,
opp_leader_performance,,,,Undecided,overall,National,2021-06-13,25,
opp_leader_performance,,,,Undecided,overall,National,2021-07-18,25,
opp_leader_performance,,,,Undecided,overall,National,2021-08-22,24.78,
opp_leader_performance,,,,Undecided,overall,National,2021-09-19,22.74,
opp_leader_performance,,,,Undecided,overall,National,2021-10-24,28.75,
opp_leader_performance,,,,Undecided,overall,National,2021-11-20,23.33,
opp_leader_performance,,,,Undecided,overall,National,2022-01-15,24.79,
opp_leader_performance,,,,Undecided,overall,National,2022-02-20,22.22,
opp_leader_performance,,,,Undecided,overall,National,2022-04-03,19.74,
opp_leader_performance,,,,Undecided,overall,National,2022-04-16,21.26,
opp_leader_performance,,,,Undecided,overall,National,2022-04-30,14.78,
opp_leader_performance,,,,Undecided,overall,National,2022-05-17,11.78,
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,National,2021-04-16,44,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,National,2021-05-16,46,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,National,2021-06-13,46,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,National,2021-07-18,44,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,NSW,2021-04-16,49,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,NSW,2021-05-16,52,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,NSW,2021-06-13,52,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,NSW,2021-07-18,46,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Vic,2021-04-16,38,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Vic,2021-05-16,45,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Vic,2021-06-13,46,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Vic,2021-07-18,40,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Qld,2021-04-16,45,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Qld,2021-05-16,43,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Qld,2021-06-13,41,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Qld,2021-07-18,45,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Rest of Australia,2021-04-16,41,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Rest of Australia,2021-05-16,39,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Rest of Australia,2021-06-13,44,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,region,Rest of Australia,2021-07-18,46,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-18-34,2021-04-16,22,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-18-34,2021-05-16,38,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-18-34,2021-06-13,34,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-18-34,2021-07-18,38,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-35-54,2021-04-16,39,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-35-54,2021-05-16,44,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-35-54,2021-06-13,43,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-35-54,2021-07-18,40,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-55+,2021-04-16,51,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-55+,2021-05-16,54,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-55+,2021-06-13,60,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,age,age-55+,2021-07-18,55,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,gender,National,2021-04-16,44,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,gender,National,2021-05-16,46,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,gender,National,2021-06-13,46,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,gender,National,2021-07-18,44,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,gender,Male,2021-04-16,49,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,gender,Male,2021-05-16,50,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,gender,Male,2021-06-13,49,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,gender,Male,2021-07-18,49,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerFirst,gender,Female,2021-04-16,33,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
