date,election,alp,coalition,lib,nat,greens,one_nation,nxt,family_first,democrats,independents,other_parties,other,undecided,mode
1901-03-30,1,15.8,30,30,,,,,,,,,54.2,,
1903-12-16,1,31,34.9,34.9,,,,,,,,,34.1,,
1906-12-12,1,36.6,38.2,38.2,,,,,,,,,25.2,,
1910-04-13,1,50,45.1,45.1,,,,,,,,,4.9,,
1913-05-31,1,48.5,48.9,48.9,,,,,,,,,2.6,,
1914-09-05,1,50.9,47.2,47.2,,,,,,,,,1.9,,
1917-05-05,1,43.9,54.2,54.2,,,,,,,,,1.9,,
1919-12-13,1,42.5,54.4,45.1,9.3,,,,,,,,3.1,,
1922-12-16,1,42.3,52.5,39.9,12.6,,,,,,,,5.2,,
1925-11-14,1,45,53.2,42.5,10.7,,,,,,,,1.8,,
1928-11-17,1,44.6,51.2,39.1,12.1,,,,,,,,4.2,,
1929-10-12,1,48.8,45.1,33.9,11.2,,,,,,,,2.2,,
1931-12-19,1,37.7,48.4,36.1,12.3,,,,,,,,13.9,,
1934-09-15,1,41.2,49.6,37,12.6,,,,,,,,9.2,,
1937-10-23,1,43.2,50,34.4,15.6,,,,,,,,6.8,,
1940-09-21,1,40.2,43.9,30.2,13.7,,,,,,,,15.9,,
1943-08-21,1,49.9,32.1,19.6,12.5,,,,,,,,18,,
1946-09-28,1,49.7,43.7,32.3,11.4,,,,,,,,6.6,,
1949-12-10,1,46,50.3,39.4,10.9,,,,,,,,3.7,,
1951-04-28,1,47.6,50.3,40.6,9.7,,,,,,,,2.1,,
1954-05-29,1,50,46.8,38.3,8.5,,,,,,,,3.2,,
1955-12-10,1,44.6,47.6,39.7,7.9,,,,,,,,7.8,,
1958-11-22,1,42.8,46.5,37.2,9.3,,,,,,,,10.7,,
1961-12-09,1,47.9,42.1,33.6,8.5,,,,,,,,10,,
1963-11-30,1,45.5,46,37.1,8.9,,,,,,,,8.5,,
1966-11-26,1,40,49.9,40.1,9.8,,,,,,,,10.1,,
1969-10-25,1,47,43.4,34.8,8.6,,,,,0.9,,,8.7,,
1972-12-02,1,49.6,41.4,32,9.4,,,,,2.4,,,6.6,,
1974-05-18,1,49.3,45,35,10,,,,,2.3,,,3.4,,
1975-12-13,1,42.8,53.1,41.8,11.3,,,,,< 0.5,,,4.1,,
1977-12-10,1,39.7,48.1,38.1,10,,,,,9.4,,,2.8,,
1980-10-18,1,45.2,46.4,37.4,9,,,,,6.6,,,1.8,,
1983-03-05,1,49.5,43.6,34.4,9.2,,,,,5,,,1.9,,
1984-12-01,1,47.6,44.7,34.1,10.6,,,,,5.5,,,2.2,,
1987-07-11,1,45.8,45.9,34.4,11.5,,,,,6,,,2.3,,
1990-03-24,1,39.4,43.4,35,8.4,< 0.5,,,,11.3,,,5.9,,
1993-03-13,1,44.9,44.3,37.1,7.2,1.9,,,,3.8,,,5.1,,
1996-03-02,1,38.8,47.3,38.7,8.6,1.7,0.3,,,,,,11.9,,
1996-03-23,,36.5,49.5,49.5,,3,,,0,7.5,,,3.5,,
1996-04-06,,37,49.5,49.5,,3.5,,,,7.5,,,2.5,,
1996-04-20,,38,48,48,,3.5,,,,7.5,,,3,,
1996-05-05,,33.5,51.5,51.5,,3.5,,,,8.5,,,3,,
1996-05-18,,35.5,49.5,49.5,,3.5,,,,7.5,,,4,,
1996-06-01,,34.5,50,50,,2.5,,,,9.5,,,3.5,,
1996-06-22,,38,50.5,50.5,,1.5,,,,6.5,,,3.5,,
1996-07-04,,34,50.5,50.5,,3,,,,7.5,,,5,,
1996-07-18,,34,51,51,,2.5,,,,7.5,,,5,,
1996-08-01,,33.5,51,51,,3.5,,,,7.5,,,4.5,,
1996-08-15,,34,50,50,,3.5,,,,8,,,4.5,,
1996-08-29,,33.5,49.5,49.5,,3.5,,,,9,,,4.5,,
1996-09-12,,37.5,46,46,,3,,,,9.5,,,4,,
1996-09-26,,35,50,50,,2.5,,,,7.5,,,5,,
1996-10-10,,34,49,49,,3.5,,,,9,,,4.5,,
1996-10-24,,33,49.5,49.5,,2.5,,,,7,,,8,,
1996-11-07,,34,49,49,,3,,,,8,,,6,,
1996-11-21,,35,48,48,,2.5,,,,8.5,,,6,,
1996-12-05,,35,48,48,,2.5,,,,8,,,6.5,,
1996-12-19,,36.5,48,48,,2,,,,7.5,,,6,,
1997-01-16,,34.5,49.5,49.5,,2,,,,6.5,,,7.5,,
1997-01-30,,32.5,49,49,,3,,,,10.5,,,5,,
1997-02-13,,36,46,46,,4,,,,7,,,7,,
1997-02-27,,36,47,47,,2.5,,,,7.5,,,7,,
1997-03-13,,34.5,50,50,,2,,,,7.5,,,6,,
1997-03-20,,35.5,49.5,49.5,,1.5,,,,6.5,,,7,,
1997-03-26,,35,43.5,43.5,,4,,,,10,,,7.5,,
1997-04-10,,35.5,48,48,,3,,,,7,,,6.5,,
1997-04-23,,34.5,40,40,,3,10,,,7.5,,,5,,
