date,election,alp,coalition,flow_alp,flow_coalition,mode
1901-03-30,1,##,##,,,
1903-12-16,1,##,##,,,
1906-12-12,1,##,##,,,
1910-04-13,1,##,##,,,
1913-05-31,1,##,##,,,
1914-09-05,1,##,##,,,
1917-05-05,1,##,##,,,
1919-12-13,1,44.1,55.9,,,
1922-12-16,1,44.9,55.1,,,
1925-11-14,1,45.9,54.1,,,
1928-11-17,1,46.7,53.3,,,
1929-10-12,1,51.9,48.1,,,
1931-12-19,1,41.9,58.1,,,
1934-09-15,1,45.8,54.2,,,
1937-10-23,1,46.6,53.4,,,
1940-09-21,1,50.3,49.7,,,
1943-08-21,1,58.2,41.8,,,
1946-09-28,1,52.2,47.8,,,
1949-12-10,1,49,51,,,
1951-04-28,1,49.3,50.7,,,
1954-05-29,1,50.7,49.3,,,
1955-12-10,1,45.8,54.2,,,
1958-11-22,1,45.9,54.1,,,
1961-12-09,1,50.5,49.5,,,
1963-11-30,1,47.4,52.6,,,
1966-11-26,1,43.1,56.9,,,
1969-10-25,1,50.2,49.8,,,
1972-12-02,1,52.7,47.3,,,
1974-05-18,1,51.7,48.3,,,
1975-12-13,1,44.3,55.7,,,
1977-12-10,1,45.4,54.6,,,
1980-10-18,1,49.6,50.4,,,
1983-03-05,1,53.2,46.8,,,
1984-12-01,1,51.8,48.2,,,
1987-07-11,1,50.8,49.2,,,
1990-03-24,1,49.9,50.1,,,
1993-03-13,1,51.4,48.6,,,
1996-03-02,1,46.4,53.6,,,
1996-03-23,,44,56,,,
1996-04-06,,43.5,56.5,,,
1996-04-20,,45.5,54.5,,,
1996-05-05,,41.5,58.5,,,
1996-05-18,,42.5,57.5,,,
1996-06-01,,43,57,,,
1996-06-22,,45.5,55.5,,,
1996-07-04,,42,58,,,
1996-07-18,,42.5,57.5,,,
1996-08-01,,41.5,58.5,,,
1996-08-15,,43.5,56.5,,,
1996-08-29,,43.5,56.5,,,
1996-09-12,,46.5,53.5,,,
1996-09-26,,44,56,,,
1996-10-10,,45.5,55.5,,,
1996-10-24,,42,58,,,
1996-11-07,,43.5,56.5,,,
1996-11-21,,44,56,,,
1996-12-05,,44.5,55.5,,,
1996-12-19,,45.5,54.5,,,
1997-01-16,,43,57,,,
1997-01-30,,43.5,56.5,,,
1997-02-13,,46.5,53.5,,,
1997-02-27,,45.5,54.5,,,
1997-03-13,,42.5,57.5,,,
1997-03-20,,44.5,55.5,,,
1997-03-26,,47,53,,,
1997-04-10,,44.5,55.5,,,
1997-04-23,,48,52,,,
1997-05-08,,44.5,55.5,,,
1997-05-15,,48.5,51.5,,,
1997-05-22,,45,55,,,
1997-06-05,,45,55,,,
1997-06-19,,45.5,54.5,,,
1997-07-03,,48,52,,,
1997-07-17,,48,52,,,
1997-07-31,,49,51,,,
1997-08-07,,54.5,45.5,,,
1997-08-16,,46.5,53.5,,,
1997-08-28,,49,51,,,
1997-09-11,,48.5,51.5,,,
1997-09-18,,48,52,,,
1997-09-25,,50,50,,,
1997-10-09,,42.5,57.5,,,
1997-10-16,,53,47,,,
1997-10-30,,53.5,46.5,,,
1997-11-13,,53.5,46.5,,,
1997-11-27,,54.5,45.5,,,
1997-12-11,,48.5,51.5,,,
1998-01-15,,52,48,,,
1998-01-29,,52.5,47.5,,,
1998-02-12,,52.5,47.5,,,
1998-02-26,,51,49,,,
1998-03-12,,50,50,,,
1998-03-26,,50.5,49.5,,,
1998-04-09,,50,50,,,
1998-04-16,,47,53,,,
1998-04-23,,53.5,46.5,,,
1998-04-30,,50.5,49.5,,,
1998-05-14,,51.5,48.5,,,
1998-05-28,,53,47,,,
1998-06-11,,51.5,48.5,,,
1998-06-18,,53,47,,,
1998-07-02,,53.5,46.5,,,
1998-07-12,,57.5,42.5,,,
1998-07-26,,56,44,,,
1998-08-09,,58,42,,,
1998-08-16,,54.5,45.5,,,
1998-08-23,,54.5,45.5,,,
1998-08-30,,55.5,44.5,,,
1998-09-06,,54.5,46.5,,,
1998-09-13,,55,45,,,
1998-09-20,,55.5,44.5,,,
1998-09-24,,50.5,49.5,,,
1998-10-01,1,51,49,,,
1998-10-03,1,51,49,,,
1998-10-18,,51,49,,,
