,ALP,L-NP
"Federal Election, May 21, 2022",52.1,47.9
"Federal Election, May 18, 2019",48.5,51.5
"Federal Election, July 2, 2016",49.7,50.3
"May 21/22 & 28/29, 2016 (Multi-mode)",51.0,49.0
"May 14/15, 2016 (Multi-mode)",52.5,47.5
"April 23/24, 30 & May 1, 2016 (Multi-mode)",51.0,49.0
"April 9/10 & 16/17, 2016 (Multi-mode)",50.0,50.0
"March 26/27 & April 2/3, 2016 (Multi-mode)",47.5,52.5
"March 12/13 & 19/20, 2016 (Multi-mode)",50.5,49.5
"February 27/28 & March 5/6, 2016 (Multi-mode)",47.0,53.0
"February 13/14 & 20/21, 2016 (Multi-mode)",47.5,52.5
"January 30/31 & February 6/7, 2016 (Multi-mode)",47.5,52.5
"January 16/17 & 23/24, 2016 (Multi-mode)",45.0,55.0
"January 2/3 & 9/10, 2016 (Multi-mode)",44.0,56.0
2015
"December 5/6 & 12/13, 2015 (Multi-mode)",42.5,57.5
"November 21/22 & 28/29, 2015 (Multi-mode)",44.0,56.0
"November 7/8 & 14/15, 2015 (Multi-mode)",44.0,56.0
"October 24/25, 31 & November 1, 2015 (Multi-mode)",43.5,56.5
"October 10/11 & 17/18, 2015 (Multi-mode)",44.0,56.0
"September 26/27 & October 1-5, 2015 (Multi-mode)",44.0,56.0
"September 19/20, 2015 (Multi-mode)",45.0,55.0
"September 12/13, 2015 (Face-to-Face)",57.0,43.0
"August 29/30 & September 5/6, 2015 (Multi-mode)",55.0,45.0
"August 15/16 & 22/23, 2015 (Multi-mode)",54.5,45.5
"August 1/2 & 8/9, 2015 (Multi-mode)",57.0,43.0
"July 18/19 & 25/26, 2015 (Multi-mode)",54.0,46.0
"July 4/5 & 11/12, 2015 (Multi-mode)",51.0,49.0
"June 20/21 & 27/28, 2015 (Multi-mode)",53.5,46.5
"June 6/7 & 13/14, 2015 (Multi-mode)",54.5,45.5
"May 23/24 & 30/31, 2015 (Multi-mode)",53.0,47.0
"May 16/17, 2015 (Multi-mode)",51.0,49.0
"April 25/26 & May 2/3, 2015 (Multi-mode)",53.5,46.5
"April 11/12 & 18/19, 2015 (Multi-mode)",53.0,47.0
"March 28/29 & April 3-6, 2015 (Multi-mode)",53.0,47.0
"March 14/15 & 21/22, 2015 (Multi-mode)",56.0,44.0
"February 28/ March 1 & 7/8, 2015 (Multi-mode)",53.5,46.5
"February 14/15 & 21/22, 2015 (Multi-mode)",56.0,44.0
"January 31/ February 1 & 7/8, 2015 (Multi-mode)",57.5,42.5
"January 23-27, 2015 (Multi-mode)",56.5,43.5
"January 3/4 & 10/11, 2015 (Multi-mode)",54.5,45.5
2014
"December 6/7 & 13/14, 2014 (Multi-mode)",57.5,42.5
"November 22/23 & 29/30, 2014 (Multi-mode)",53.5,46.5
"November 8/9 & 15/16, 2014 (Multi-mode)",55.5,44.5
"October 25/26 & November 1/2, 2014 (Multi-mode)",54.5,45.5
"October 11/12 & 18/19, 2014 (Multi-mode)",52.0,48.0
"September 27/28 & October 4/5, 2014 (Multi-mode)",53.0,47.0
"September 13/14 & 20/21, 2014 (Multi-mode)",54.5,45.5
"August 30/31 & September 6/7, 2014 (Multi-mode)",54.0,46.0
"August 16/17 & 23/24, 2014 (Multi-mode)",55.5,44.5
"August 2/3 & 9/10, 2014 (Multi-mode)",56.0,44.0
"July 19/20 & 26/27, 2014 (Multi-mode)",54.5,45.5
"July 5/6 & 12/13, 2014 (Multi-mode)",56.5,43.5
"June 21/22 & 28/29, 2014 (Multi-mode)",57.5,42.5
"June 14/15, 2014 (Multi-mode)",55.5,44.5
"June 7/8, 2014 (Multi-mode)",60.5,39.5
"May 24/25 & 31/ June 1, 2014 (Multi-mode)",56.5,43.5
"May 17/18, 2014 (Multi-mode)",57.5,42.5
"April 26/27 & May 3/4, 2014 (Multi-mode)",55.0,45.0
"April 12/13 & 19/20, 2014 (Multi-mode)",52.0,48.0
"March 29/30 & April 5/6, 2014 (Multi-mode)",51.5,48.5
"March 15/16 & 22/23, 2014 (Multi-mode)",54.5,45.5
"March 1/2 & 8/9, 2014 (Multi-mode)",53.5,46.5
"February 15/16 & 22/23, 2014 (Multi-mode)",50.5,49.5
"February 1/2 & 8/9, 2014 (Multi-mode)",52.0,48.0
"January 18/19 & 25/26, 2014 (Multi-mode)",53.0,47.0
"January 4/5 & 11/12, 2014 (Multi-mode)",52.5,47.5
2013
"December 7/8 & 14/15, 2013 (Multi-mode)",52.5,47.5
"November 30/ December 1, 2013 (Multi-mode)",51.5,48.5
"November 16/17, 2013 (Multi-mode)",49.0,51.0
"November 2/3, 2013 (Multi-mode)",50.0,50.0
"October 19/20, 2013 (Multi-mode)",48.5,51.5
"October 5/6, 2013 (Multi-mode)",50.5,49.5
"September 21/22, 2013 (Multi-mode)",49.5,50.5
"Federal Election - September 7, 2013",46.5,53.5
"September 7, 2013 (SMS Exit Poll - 7pm)",47.0,53.0
"September 7, 2013 (SMS Exit Poll - 6pm)",47.0,53.0
"September 7, 2013 (SMS Exit Poll - 5pm)",48.0,52.0
"September 7, 2013 (SMS Exit Poll - 4pm)",48.0,52.0
"September 7, 2013 (SMS Exit Poll - 3pm)",48.0,52.0
"September 7, 2013 (SMS Exit Poll - 2pm)",48.0,52.0
"September 7, 2013 (SMS Exit Poll - 1pm)",48.5,51.5
"September 7, 2013 (SMS Exit Poll - 12pm)",48.0,52.0
"September 4-6, 2013 (Multi-mode)",46.5,53.5
"August 31 - September 1, 2013 (Multi-mode)",48.0,52.0
"August 28-29, 2013 (Multi-mode)",47.0,53.0
"August 23-25, 2013 (Multi-mode)",48.5,51.5
"August 16-18, 2013 (Multi-mode)",49.0,51.0
"August 9-11, 2013 (Multi-mode)",50.0,50.0
"August 2-4, 2013 (Multi-mode)",50.0,50.0
"July 26-28, 2013 (Multi-mode)",52.0,48.0
"July 19-21, 2013 (Multi-mode)",52.5,47.5
"July 12-14, 2013 (Multi-mode)",52.5,47.5
"July 5-7, 2013 (Multi-mode)",54.5,45.5
"June 28-30, 2013 (Multi-mode)",51.5,48.5
"June 26, 2013 (Snap SMS Poll)",49.5,50.5
"June 21-23, 2013 (Multi-mode)",44.5,55.5
"June 14-16, 2013 (Multi-mode)",46.5,53.5
"June 7-10, 2013 (Multi-mode)",44.0,56.0
"May 31- June 2, 2013 (Multi-mode)",45.0,55.0
"May 24-26, 2013 (Multi-mode)",45.5,54.5
"May 17-19, 2013 (Multi-mode)",45.0,55.0
"May 10-12, 2013 (Multi-mode)",44.0,56.0
"May 3-5, 2013 (Multi-mode)",44.0,56.0
"April 26-28, 2013 (Multi-mode)",42.0,58.0
"April 18-21, 2013 (Multi-mode)",45.5,54.5
"April 12-14, 2013 (Multi-mode)",44.5,55.5
"April 5-7, 2013 (Multi-mode)",43.5,56.5
"March 28-31, 2013 (Multi-mode)",41.0,59.0
"March 21-24, 2013 (Multi-mode)",43.0,57.0
"March 14-17, 2013 (Multi-mode)",45.5,54.5
"March 7-10, 2013 (Multi-mode)",42.5,57.5
"February 28 - March 3, 2013 (Multi-mode)",45.5,54.5
"February 16/17 & 23/24, 2013 (Face)",45.5,54.5
"February 9/10, 2013 (Face)",44.0,56.0
"February 2/3, 2013 (Face)",48.5,51.5
"January 19/20 & 26/27, 2013 (Face)",49.5,50.5
"January 5/6 & 12/13, 2013 (Face)",48.0,52.0
"December 8/9 & 15/16, 2012 (Face)",52.5,47.5
"November 24/25 & December 1/2, 2012 (Face)",47.5,52.5
"November 27-29, 2012 (Phone)",49.0,51.0
"November 10/11 & 17/18, 2012 (Face)",50.5,49.5
"October 27/28 & November 3/4, 2012 (Face)",46.5,53.5
"October 13/14 & 20/21, 2012 (Face)",50.5,49.5
"September 29/30 & October 6/7, 2012 (Face)",48.0,52.0
"September 22/23, 2012 (Face)",48.0,52.0
"September 17-20, 2012 (Phone)",49.5,50.5
"September 8/9 & 15/16, 2012 (Face)",46.5,53.5
"September 1/2, 2012 (Face)",46.5,53.5
"August 11/12 & 18/19, 2012 (Face)",46.0,54.0
"July 28/29 & August 4/5, 2012 (Face)",44.0,56.0
"July 14/15 & 21/22, 2012 (Face)",43.0,57.0
"June 30/ July 1 & 7/8, 2012 (Face)",42.5,57.5
"June 16/17 & 23/24, 2012 (Face)",43.5,56.5
"June 9/10, 2012 (Face)",45.0,55.0
"June 2/3, 2012 (Face)",42.0,58.0
"May 26/27, 2012 (Face)",38.5,61.5
"May 19/20, 2012 (Face)",42.0,58.0
"May 12/13, 2012 (Face)",41.0,59.0
"May 9/10, 2012 (Phone)",42.0,58.0
"May 5/6, 2012 (Face)",39.5,60.5
"April 21/22, 2012 (Face)",41.5,58.5
"April 17-19, 2012 (Phone)",43.0,57.0
"April 7/8 & 14/15, 2012 (Face)",40.5,59.5
"March 31/ April 1, 2012 (Face)",42.5,57.5
"March 24/25, 2012 (Face)",45.0,55.0
"March 10/11 & 17/18, 2012 (Face)",46.0,54.0
"March 3/4, 2012 (Face)",48.0,52.0
"February 25/26, 2012 (Face)",48.0,52.0
"February 11/12 & 18/19, 2012 (Face)",48.0,52.0
"February 7/8, 2012 (Phone)",45.0,55.0
"February 4/5, 2012 (Face)",46.5,53.5
"January 28/29, 2012 (Face)",50.5,49.5
"January 14/15 & 21/22, 2012 (Face)",48.0,52.0
"January 17/18, 2012 (Phone)",45.5,54.5
"January 7/8, 2012 (Face)",46.0,54.0
"December 10/11 & 17/18, 2011 (Face)",46.5,53.5
"November 26/27 & December 3/4, 2011 (Face)",44.5,55.5
"November 19/20, 2011 (Face)",45.5,54.5
"November 5/6 & 12/13, 2011 (Face)",43.5,56.5
"November 2/3, 2011 (Phone)",48.5,51.5
"October 29/30, 2011 (Face)",44.0,56.0
"October 25/26, 2011 (Phone)",44.5,55.5
