Date,Total ALP TPP,Total L-NP TPP
2024
March 10,51.5%,48.5%
March 3,54.0%,46.0%
February 25,50.0%,50.0%
February 18,53.0%,47.0%
February 11,52.0%,48.0%
February 4,53.0%,47.0%
January 28,50.5%,49.5%
January 21,52.5%,47.5%
January 14,51.5%,48.5%
January 7,49.0%,51.0%
2023
December 17,50.0%,50.0%
December 10,51.0%,49.0%
December 3,51.0%,49.0%
November 26,53.0%,47.0%
November 19,49.5%,50.5%
November 12,50.0%,50.0%
November 5,52.0%,48.0%
October 29,53.0%,47.0%
October 22,49.5%,50.5%
October 15,54.0%,46.2%
October 8,53.0%,47.0%
October 1,52.0%,48.0%
September 24,54.0%,46.0%
September 17,54.0%,46.0%
September 10,52.5%,47.5%
September 3,53.0%,47.0%
August 27,53.5%,46.5%
August 20,53.0%,47.0%
August 13,54.5%,45.5%
August 6,53.5%,46.5%
July 30,53.0%,47.0%
July 23,52.0%,48.0%
July 16,52.5%,47.5%
July 9,54.5%,45.5%
July 2,56.0%,44.0%
June 25,57.0%,43.0%
June 18,57.0%,43.0%
June 11,55.8%,44.2%
June 4,55.4%,44.6%
May 28,55.5%,44.5%
May 21,55.3%,44.7%
May 14,57.0%,43.0%
May 14,58.4%,41.6%
May 7,54.7%,45.3%
April 30,53.6%,46.4%
April 23,56.5%,43.5%
April 16,56.2%,43.8%
April 9,56.2%,43.8%
April 2,54.5%,45.5%
March 26,56.8%,43.2%
March 19,58.1%,41.9%
March 12,56.3%,43.7%
March 5,54.6%,45.4%
February 26,56.5%,43.5%
February 19,58.3%,41.7%
February 12,56.4%,43.6%
February 5,58.4%,41.6%
January 29,56.9%,58.9%
January 22,58.9%,41.1%
January 15,59.4%,40.6%
January 8,58.6%,41.4%
2022
December 16,58.7%,41.3%
December 11,56.6%,43.4%
December 11,58.5%,41.5%
December 4,54.6%,45.4%
November 27,52.3%,47.7%
November 20,53.4%,46.6%
November 13,53.4%,46.6%
November 6,53.3%,46.7%
October 30,55.6%,44.4%
October 23,54.5%,45.5%
October 16,54.8%,45.2%
October 9,54.9%,45.1%
October 2,55.0%,45.0%
September 25,54.5%,45.5%
September 18,54.7%,45.3%
September 11,53.6%,46.4%
September 4,53.5%,46.5%
August 28,52.0%,48.0%
August 21,52.7%,47.3%
August 14,53.0%,47.0%
