,Preferences distributed by how electors told us they should be,Preferences distributed by preference flows at the 2022 Federal Election
DATE,ALP,L-NP,MARGIN,ALP,L-NP,MARGIN
"April 28, 2025",53.0%,47.0%,6.0%,54.0%,46.0%,8.0%
"April 21, 2025",55.5%,44.5%,11.0%,55.5%,44.5%,11.0%
"April 14, 2025",54.5%,45.5%,9.0%,54.5%,45.5%,9.0%
"April 7, 2025",53.5%,46.5%,7.0%,54.5%,45.5%,9.0%
"March 31, 2025",53.0%,47.0%,6.0%,53.5%,46.5%,7.0%
"March 24, 2025",53.0%,47.0%,6.0%,54.0%,46.0%,8.0%
"March 17, 2025",54.5%,45.5%,9.0%,54.5%,45.5%,9.0%
"March 11, 2025",51.5%,48.5%,3.0%,52.0%,48.0%,4.0%
"March 3, 2025",49.5%,50.0%,-1.0%,50.0%,50.0%,0.0%
"February 23, 2025",51.0%,49.0%,2.0%,53.0%,47.0%,6.0%
"February 16, 2025",48.5%,51.5%,-3.0%,49.0%,51.0%,-2.0%
"February 9, 2025",48.5%,51.5%,-3.0%,48.5%,51.5%,-3.0%
"February 2, 2025",50.0%,50.0%,0.0%,50.5%,49.5%,1.0%
"January 26, 2025",48.0%,52.0%,-4.0%,49.0%,51.0%,-2.0%
"January 19, 2025",48.0%,52.0%,-4.0%,48.0%,52.0%,-4.0%
"January 12, 2025",48.5%,51.5%,-3.0%,49.5%,50.5%,-2.0%
"January 5, 2025",47.0%,53.0%,-6.0%,50.0%,50.0%,0.0%
"December 15, 2024",48.0%,52.0%,-4.0%,48.5%,51.5%,-3.0%
"December 8, 2024",48.0%,52.0%,-4.0%,50.0%,50.0%,0.0%
"December 1, 2024",49.0%,51.0%,-2.0%,50.0%,50.0%,0.0%
"November 24, 2024",51.0%,49.0%,2.0%,51.5%,48.5%,3.0%
"November 17, 2024",49.0%,51.0%,-2.0%,50.0%,50.0%,0.0%
"November 10, 2024",49.5%,50.5%,-1.0%,51.0%,49.0%,2.0%
"November 3, 2024",49.0%,51.0%,-2.0%,51.0%,49.0%,2.0%
"October 27, 2024",50.5%,49.5%,1.0%,51.5%,48.5%,3.0%
"October 20, 2024",52.0%,48.0%,4.0%,53.0%,47.0%,6.0%
"October 13, 2024",50.0%,50.0%,0.0%,51.0%,49.0%,2.0%
"October 6, 2024",50.0%,50.0%,0.0%,52.0%,48.0%,4.0%
"September 29, 2024",49.0%,51.0%,-2.0%,51.5%,48.5%,3.0%
"September 22, 2024",50.5%,49.5%,1.0%,52.0%,48.0%,4.0%
"September 15, 2024",50.5%,49.5%,1.0%,52.0%,48.0%,4.0%
"September 8, 2024",51.0%,49.0%,2.0%,52.0%,48.0%,4.0%
"September 1, 2024",50.5%,49.5%,1.0%,52.0%,48.0%,4.0%
"August 25, 2024",49.5%,50.5%,-1.0%,50.0%,50.0%,0.0%
"August 18, 2024",50.5%,49.5%,1.0%,51.0%,49.0%,2.0%
"August 11, 2024",50.0%,50.0%,0.0%,51.0%,49.0%,2.0%
"August 4, 2024",51.5%,48.5%,3.0%,51.5%,48.5%,3.0%
"July 28, 2024",50.5%,49.5%,1.0%,51.0%,49.0%,2.0%
"July 21, 2024",49.0%,51.0%,-2.0%,50.5%,49.5%,1.0%
"July 14, 2024",49.5%,50.5%,-1.0%,51.5%,48.5%,3.0%
"July 7, 2024",48.0%,52.0%,-4.0%,50.0%,51.0%,-1.0%
"June 30, 2024",51.0%,49.0%,2.0%,52.5%,47.5%,5.0%
"June 23, 2024",51.0%,49.0%,2.0%,52.5%,47.5%,5.0%
"June 16, 2024",50.0%,50.0%,0.0%,51.0%,49.0%,2.0%
"June 9, 2024",53.5%,46.5%,7.0%,53.5%,46.5%,7.0%
"June 2, 2024",52.0%,48.0%,4.0%,52.5%,47.5%,5.0%
"May 26, 2024",48.5%,51.5%,-3.0%,51.0%,49.0%,2.0%
"May 19, 2024",50.5%,49.5%,1.0%,52.5%,47.5%,5.0%
"May 12, 2024",52.0%,48.0%,4.0%,52.5%,47.5%,5.0%
"May 5, 2024",52.0%,48.0%,4.0%,51.0%,49.0%,2.0%
"April 28, 2024",52.0%,48.0%,4.0%,52.5%,47.5%,5.0%
"April 21, 2024",52.0%,48.0%,4.0%,52.0%,48.0%,4.0%
"April 14, 2024",51.0%,51.0%,-2.0%,50.5%,49.5%,1.0%
"April 7, 2024",49.5%,50.5%,-1.0%,50.5%,49.5%,1.0%
"March 31, 2024",51.0%,49.0%,2.0%,52.0%,48.0%,4.0%
"March 24, 2024",50.0%,50.0%,0.0%,52.0%,48.0%,4.0%
"March 17, 2024",51.5%,48.5%,3.0%,52.0%,48.0%,4.0%
