,ALP,L-NP,The Greens,One Nation,NXT/Centre Alliance,Ind./Others
"Election May 3, 2025",34.6,31.8 (4.0),12.2,6.4,0.2,14.8
"Election May 21, 2022",32.6,35.7 (3.8),12.3,5.0,0.3,14.1
"Election May 18, 2019",33.3,41.4 (4.8),10.4,3.1,0.3,11.5
"Election July 2, 2016",34.7,42.0 (4.8),10.2,1.3,1.9,9.9
"Election September 7, 2013",33.4,45.5 (4.3),8.7,0.2,n/a,12.2
"Election August 21, 2010",38.0,43.6 (3.7),11.8,0.2,n/a,6.4
"Election November 24, 2007",43.4,42.1 (5.9),7.8,0.3,n/a,6.4
"Election October 9, 2004",37.6,46.4 (5.9),7.2,1.2,n/a,7.6
"Election November 10, 2001",37.8,43.0 (5.6),4.4,4.3,n/a,9.6
"Election October 3^, 1998",40.1,39.5 (5.3),2.1,8.4,n/a,9.9
"Election March 2, 1996",38.8,47.3 (8.6),1.7,0.3,n/a,11.9
