,ALP,L-NP,Liberal,National,Greens,Family First,Dems,One Nation,Other
"Federal Election - July 2, 2016",34.7,42.0,37.2,4.8,10.2,1.5,< 0.5,1.3,10.3
"May 21/22 & 28/29, 2016 (Multi-mode)",32.5,37.5,34,3.5,13,< 0.5,< 0.5,< 0.5,17
"May 14/15, 2016 (Multi-mode)",33,36.5,33.5,3,15.5,< 0.5,< 0.5,< 0.5,15
"April 23/24, 30 & May 1, 2016 (Multi-mode)",32.5,40,37,3,13.5,< 0.5,< 0.5,< 0.5,14
"April 9/10 & 16/17, 2016 (Multi-mode)",32,40.5,37.5,3,14,< 0.5,< 0.5,< 0.5,13.5
"March 26/27 & April 2/3, 2016 (Multi-mode)",31,42,38.5,3.5,13,< 0.5,< 0.5,< 0.5,14
"March 12/13 & 19/20, 2016 (Multi-mode)",33,40,36.5,3.5,14,< 0.5,< 0.5,< 0.5,13
"February 27/28 & March 5/6, 2016 (Multi-mode)",29.5,43,39.5,3.5,13,< 0.5,< 0.5,< 0.5,14
"February 13/14 & 20/21, 2016 (Multi-mode)",29.5,43.5,40,3.5,15,< 0.5,< 0.5,< 0.5,12
"January 30/31 & February 6/7, 2016 (Multi-mode)",29,43.5,41,2.5,16,< 0.5,< 0.5,< 0.5,11.5
"January 16/17 & 23/24, 2016 (Multi-mode)",28,43.5,40.5,3,15,< 0.5,< 0.5,< 0.5,13.5
"January 2/3 & 9/10, 2016 (Multi-mode)",29,47,44,3,13,< 0.5,< 0.5,< 0.5,11
"December 5/6 & 12/13, 2015 (Multi-mode)",27,48,45,3,14.5,< 0.5,< 0.5,< 0.5,10.5
"November 21/22 & 28/29, 2015 (Multi-mode)",28.5,46.5,44,2.5,14,< 0.5,< 0.5,< 0.5,11
"November 7/8 & 14/15, 2015 (Multi-mode)",28,46,43.5,2.5,14.5,< 0.5,< 0.5,< 0.5,11.5
"October 24/25, 31 & November 1, 2015 (Multi-mode)",28.5,47,44,3,14.5,< 0.5,< 0.5,< 0.5,10
"October 10/11 & 17/18, 2015 (Multi-mode)",27.5,46.5,43.5,3,15.5,< 0.5,< 0.5,< 0.5,10.5
"September 26/27 & October 1-5, 2015 (Multi-mode)",27.5,47,44,3,14,< 0.5,< 0.5,< 0.5,11.5
"September 19/20, 2015 (Multi-mode)",29.5,46,43.5,2.5,13,< 0.5,< 0.5,< 0.5,11.5
"September 12/13, 2015 (Face-to-Face)",36.5,35,32.5,2.5,16,< 0.5,< 0.5,< 0.5,12.5
"August 29/30 & September 5/6, 2015 (Multi-mode)",35.5,36.5,34.5,2,16.5,< 0.5,< 0.5,< 0.5,11.5
"August 15/16 & 22/23, 2015 (Multi-mode)",36,38.5,36,2.5,14,< 0.5,< 0.5,< 0.5,11.5
"August 1/2 & 8/9, 2015 (Multi-mode)",37,36.5,33.5,3,15.5,< 0.5,< 0.5,< 0.5,11
"July 18/19 & 25/26, 2015 (Multi-mode)",35.5,39,36.5,2.5,15,< 0.5,< 0.5,< 0.5,10.5
"July 4/5 & 11/12, 2015 (Multi-mode)",34.5,41.5,39,2.5,13.5,< 0.5,< 0.5,< 0.5,10.5
"June 20/21 & 27/28, 2015 (Multi-mode)",36,39,37,2,14,< 0.5,< 0.5,< 0.5,11
"June 6/7 & 13/14, 2015 (Multi-mode)",37.5,37.5,35,2.5,13.5,< 0.5,< 0.5,< 0.5,11.5
"May 23/24 & 30/31, 2015 (Multi-mode)",37,41,38,3,13,< 0.5,< 0.5,< 0.5,9
"May 16/17, 2015 (Multi-mode)",35.5,41.5,38.5,3,12.5,< 0.5,< 0.5,< 0.5,10.5
"April 25/26 & May 2/3, 2015 (Multi-mode)",37.5,40,37.5,2.5,11.5,< 0.5,< 0.5,< 0.5,11
"April 11/12 & 18/19, 2015 (Multi-mode)",38,38.5,36,2.5,12,< 0.5,< 0.5,< 0.5,11.5
"March 28/29 & April 3-6, 2015 (Multi-mode)",36,40.5,37.5,3,12.5,< 0.5,< 0.5,< 0.5,11
"March 14/15 & 21/22, 2015 (Multi-mode)",40,38,35,3,11,< 0.5,< 0.5,< 0.5,11
"February 28/ March 1 & 7/8, 2015 (Multi-mode)",38,39,36.5,2.5,11.5,< 0.5,< 0.5,< 0.5,11.5
"February 14/15 & 21/22, 2015 (Multi-mode)",40.5,37.5,35,2.5,10,< 0.5,< 0.5,< 0.5,12
"January 31/ February 1 & 7/8, 2015 (Multi-mode)",41.5,35.5,33.5,2,12,< 0.5,< 0.5,< 0.5,11
"January 23-27, 2015 (Multi-mode)",39.5,37.5,35,2.5,12,< 0.5,< 0.5,< 0.5,11
"January 3/4 & 10/11, 2015 (Multi-mode)",38.5,38.5,36,2.5,9.5,< 0.5,< 0.5,< 0.5,11.5
"December 6/7 & 13/14, 2014 (Multi-mode)",41,35,32,3,11.5,< 0.5,< 0.5,< 0.5,12.5
"November 22/23 & 29/30, 2014 (Multi-mode)",37.5,39,36.5,2.5,12,< 0.5,< 0.5,< 0.5,11.5
"November 8/9 & 15/16, 2014 (Multi-mode)",38.5,38,36,2,12,< 0.5,< 0.5,< 0.5,11.5
"October 25/26 & November 1/2, 2014 (Multi-mode)",37.5,38.5,36.5,2,12.5,< 0.5,< 0.5,< 0.5,11.5
"October 11/12 & 18/19, 2014 (Multi-mode)",35.5,39.5,37,2.5,12,< 0.5,< 0.5,< 0.5,13
"September 27/28 & October 4/5, 2014 (Multi-mode)",35,40,38,2,12,< 0.5,< 0.5,< 0.5,13
"September 13/14 & 20/21, 2014 (Multi-mode)",37.5,38.5,36.5,2,12,< 0.5,< 0.5,< 0.5,12
"August 30/31 & September 6/7, 2014 (Multi-mode)",37,38,35.5,2.5,10.5,< 0.5,< 0.5,< 0.5,14.5
"August 16/17 & 23/24, 2014 (Multi-mode)",38.5,37.5,35,2.5,10.5,< 0.5,< 0.5,< 0.5,13.5
"August 2/3 & 9/10, 2014 (Multi-mode)",38,37.5,35,2.5,11,< 0.5,< 0.5,< 0.5,13.5
"July 19/20 & 26/27, 2014 (Multi-mode)",39,38,36,2,10.5,< 0.5,< 0.5,< 0.5,12.5
"July 5/6 & 12/13, 2014 (Multi-mode)",38.5,34,32,2,11.5,< 0.5,< 0.5,< 0.5,16
"June 21/22 & 28/29, 2014 (Multi-mode)",36.5,35,33,2.5,12,< 0.5,< 0.5,< 0.5,16.5
"June 14/15, 2014 (Multi-mode)",38,36.5,34.5,2,12,< 0.5,< 0.5,< 0.5,13.5
"June 7/8, 2014 (Multi-mode)",42,33,31.5,1.5,12,< 0.5,< 0.5,< 0.5,13
"May 24/25 & 31/ June 1, 2014 (Multi-mode)",38,35,33,2,11,< 0.5,< 0.5,< 0.5,16
"May 17/18, 2014 (Multi-mode)",38.5,35,33,2,12,< 0.5,< 0.5,< 0.5,14.5
"April 26/27 & May 3/4, 2014 (Multi-mode)",37,37.5,35.5,2,12,< 0.5,< 0.5,< 0.5,13.5
"April 12/13 & 19/20, 2014 (Multi-mode)",34,38.5,36.5,2,13,< 0.5,< 0.5,< 0.5,14.5
"March 29/30 & April 5/6, 2014 (Multi-mode)",34.5,38.5,36.5,2,12,< 0.5,< 0.5,< 0.5,15
"March 15/16 & 22/23, 2014 (Multi-mode)",38.5,38,36,2,11,< 0.5,< 0.5,< 0.5,12.5
"March 1/2 & 8/9, 2014 (Multi-mode)",37,39.5,37.5,2,12,< 0.5,< 0.5,< 0.5,11.5
"February 15/16 & 22/23, 2014 (Multi-mode)",35.5,41,38.5,2.5,10.5,< 0.5,< 0.5,< 0.5,12
"February 1/2 & 8/9, 2014 (Multi-mode)",37,40.5,38.5,2,10.5,< 0.5,< 0.5,< 0.5,12
"January 18/19 & 25/26, 2014 (Multi-mode)",37,39.5,37.5,2,11.5,< 0.5,< 0.5,< 0.5,12
"January 4/5 & 11/12, 2014 (Multi-mode)",38,39,37,2,10.5,< 0.5,< 0.5,< 0.5,12.5
"December 7/8 & 14/15, 2013 (Multi-mode)",38.5,40.5,38.5,2,10,< 0.5,< 0.5,< 0.5,11
"November 30/ December 1, 2013 (Multi-mode)",38.5,41.5,39.5,2,8.5,< 0.5,< 0.5,< 0.5,11.5
