,ALP,L-NP,The Greens,One Nation,NXT/ Centre Alliance,Ind./Others
"May 9-15, 2022",34,34 (3.5),13,4,n/a,15
"May 2-8, 2022",35.5,34 (4),13,4,n/a,13.5
"April 25 - May 1, 2022",35,35 (3),13,3,n/a,14
"April 18-24, 2022",35,35.5 (3.5),12,4.5,n/a,13
"April 11-17, 2022",35,35.5 (3),14,4.5,n/a,11
"April 4-10, 2022",36,32.5 (3.5),12.5,5,n/a,14
"March 28 - April 3, 2022",39.5,33 (2.5),11,3.5,n/a,13
"March 21-27, 2022",35.5,33 (2.5),12.5,3.5,n/a,15.5
"March 14-20, 2022",37.5,31 (3),12,3,n/a,16.5
"March 3-13, 2022",37,33.5 (3),11.5,3,n/a,15
"February 24 - March 2, 2022",37.5,34 (2.5),11.5,3.5,n/a,13.5
"February 14-23, 2022",37.5,32.5 (4),12.5,3.5,n/a,14
"January 31 - February 13, 2022",38.5,33 (3),11.5,4,n/a,13
"January 17-30, 2022",37.5,33 (3),11.5,3.5,n/a,14.5
"January 4-16, 2022",37,34.5 (3.5),12,3,n/a,13.5
2022
"December 11/12 & 18/19, 2021",37,34.5 (2.5),11.5,4,n/a,13
"November 27/28 & December 4/5, 2021",36,34.5 (3.5),12.5,3.5,n/a,13.5
"November 13/14 & 20/21, 2021",35.5,35.5 (4),12,3.5,n/a,13.5
"October 30/31 & November 6/7, 2021",35,36.5 (4),11.5,3,n/a,14
"October 16/17 & 23/24, 2021",35,36.5 (4),13.5,3.5,n/a,11.5
"October 2/3 & 9/10, 2021",36,37.5 (4.5),11.5,3,n/a,12
"September 18/19 & 25/26, 2021",36,36 (3.5),12.5,3.5,n/a,12
"September 4/5 & 11/12, 2021",35,38.5 (3.5),13,3,n/a,10.5
"August 21/22 & 28/29, 2021",38.5,37.5 (3.5),11.5,3,n/a,9.5
"August 7/8 & 14/15, 2021",37.5,37.5 (4),12.5,3.5,n/a,9
"July 24/25 & 31/ August 1, 2021",37,37 (3),12.5,3,n/a,10.5
"July 10/11 & 17/18, 2021",37,39 (4.5),11.5,3,n/a,9.5
"June 12/13 & 19/20, 2021",34.5,41.5 (3.5),12,3.5,n/a,8.5
"May 29/30 & June 5/6, 2021",35.5,40 (3.5),11.5,3,n/a,10
"March 6/7 & 13/14, 2021",34.5,41 (3.5),12.5,2.5,n/a,9.5
"February 6/7 & 13/14, 2021",34.5,40 (4),13,3.5,n/a,9
2021
"November 14/15 & 21/22, 2020",34,42 (3.5),12,4,n/a,8
"October 17/18 & 24/25, 2020",34,42.5 (3.5),12,4,n/a,7.5
"August 8/9 & 15/16, 2020",32.5,46 (3.5),11,3,n/a,7.5
"July 11/12 & 18/19, 2020",33.5,43.5 (3),11,2.5,n/a,9.5
"June 13/14 & 20/21, 2020",34.5,42.5 (3.5),10.5,4,n/a,8.5
"May 16/17 & 23/24, 2020",33,44.5 (3.5),11,3.5,n/a,8
"April 18/19 & 25/26, 2020",33,43.5 (3),11.5,3,n/a,9
"February 28/March 1 & 7/8, 2020",36,36.5 (2.5),11,4,n/a,12.5
2020
"2019 Federal Election - May 18, 2019",33.3,41.4 (4.8),10.4,3.1,0.3,11.5
"April 20/21, 2019",35.5,39 (2.5),9.5,4.5,n/a,11.5
"April 6/7, 2019",35,37 (3),13.5,4,n/a,10.5
"March 16/17 & 23/24, 2019",36.5,34.5 (2.5),12.5,3.5,n/a,13
"February 16/17, 2019",34.5,37 (3.5),11.5,3.5,n/a,13.5
"February 2/3 & 9/10, 2019",36,34.5 (2.5),12.5,3,n/a,14
2019,,,,,,
"August 25/26, 2018",36,36.5 (4.5),13,2.5,0.5,11.5
"August 24, 2018 - Scott Morrison emerges victorious in a three way leadership ballot and becomes Prime Minister"
"August 18/29, 2018",34.5,39 (4.5),12,2,1,11.5
"March 17/18 & 24/25, 2018",35,40 (5.5),12,3.5,0.5,9
"March 3/4 & 10/11, 2018",36,36 (2.5),13.5,3,1.5,10
2018,,,,,,
"2016 Federal Election - July 2, 2016",34.7,42 (4.8),10.2,1.3,1.9,9.9
"May 21/22 & 28/29, 2016",32.5,37.5 (3.5),13,n/a,5,12
"May 14/15, 2016",33,36.5 (3),15.5,n/a,5,10
"April 23/24, 30/ May 1, 2016",32.5,40 (3),13.5,n/a,4,10
"April 9/10 & 16/17, 2016",32,40.5 (3),14,n/a,4.5,9
"March 26/27 & April 2/3, 2016",31,42 (3.5),13,n/a,4.5,9.5
"March 12/13 & 19/20, 2016",33,40 (3.5),14,n/a,4,9
"February 27/28 & March 5/6, 2016",29.5,43 (3.5),13,n/a,5,9.5
"February 13/14 & 20/21, 2016",29.5,43.5 (3.5),15,n/a,1.5,10.5
"January 30/31 & February 6/7, 2016",29,43.5 (2.5),16,n/a,1,10.5
"January 16/17 & 23/24, 2016",28,43.5 (3),15,n/a,2,11.5
"January 2/3 & 9/10, 2016",29,47 (3),13,n/a,n/a,11
2016
"December 5/6 & 12/13, 2015",27,48 (3),14.5,n/a,n/a,10.5
"November 21/22 & 28/29, 2015",28.5,46.5 (2.5),14,n/a,n/a,11
"November 7/8 & 14/15, 2015",28,46 (2.5),14.5,n/a,n/a,11.5
"October 24/25, 31 & November 1, 2015",28.5,47 (3),14.5,n/a,n/a,10
"October 10/11 & 17/18, 2015",27.5,46.5 (3),15.5,n/a,n/a,10.5
"September 26/27 & October 1-5, 2015",27.5,47 (3),14,n/a,n/a,11.5
"September 19/20, 2015",29.5,46 (2.5),13,n/a,n/a,11.5
"September 15, 2015 - Malcolm Turnbull challenges and defeats Tony Abbott to become Prime Minister"
"September 12/13, 2015",36.5,35 (2.5),16,n/a,n/a,12.5
"August 29/30 & September 5/6, 2015",35.5,36.5 (2),16.5,n/a,n/a,11.5
"August 15/16 & 22/23, 2015",36,38.5 (2.5),14,n/a,n/a,11.5
"August 1/2 & 8/9, 2015",37,36.5 (3),15.5,n/a,n/a,11
"July 18/19 & 25/26, 2015",35.5,39 (2.5),15,n/a,n/a,10.5
"July 4/5 & 11/12, 2015",34.5,41.5 (2.5),13.5,n/a,n/a,10.5
"June 20/21 & 27/28, 2015",36,39 (2),14,n/a,n/a,11
"June 6/7 & 13/14, 2015",37.5,37.5 (2.5),13.5,n/a,n/a,11.5
"May 23/24 & 30/31, 2015",37,41 (3),13,n/a,n/a,9
"May 16/17, 2015",35.5,41.5 (3),12.5,n/a,n/a,10.5
"April 25/26 & May 2/3, 2015",37.5,40 (2.5),11.5,n/a,n/a,11
"April 11/12 & 18/19, 2015",38,38.5 (2.5),12,n/a,n/a,11.5
"March 28/29 & April 3-6, 2015",36,40.5 (3),12.5,n/a,n/a,11
"March 14/15 & 21/22, 2015",40,38 (3),11,n/a,n/a,11
"February 28/ March 1 & 7/8, 2015",38,39 (2.5),11.5,n/a,n/a,11.5
"February 14/15 & 21/22, 2015",40.5,37.5 (2.5),10,n/a,n/a,12
"January 31/ February 1 & 7/8, 2015",41.5,35.5 (2),12,n/a,n/a,11
"January 23-27, 2015",39.5,37.5 (2.5),12,n/a,n/a,11
"January 3/4 & 10/11, 2015",38.5,38.5 (2.5),9.5,n/a,n/a,13.5
2015
"December 6/7 & 13/14, 2014",41,35 (3),11.5,n/a,n/a,12.5
"November 22/23 & 29/30, 2014",37.5,39 (2.5),12,n/a,n/a,11.5
"November 8/9 & 15/16, 2014",38.5,38 (2),12,n/a,n/a,11.5
"October 25/26 & November 1/2, 2014",37.5,38.5 (2),12.5,n/a,n/a,11.5
"October 11/12 & 18/19, 2014",35.5,39.5 (2.5),12,n/a,n/a,13
"September 27/28 & October 4/5, 2014",35,40 (2),12,n/a,n/a,13
"September 13/14 & 20/21, 2014",37.5,38.5 (2),12,n/a,n/a,12
"August 30/31 & September 6/7, 2014",37,38 (2.5),10.5,n/a,n/a,14.5
"August 16/17 & 23/24, 2014",38.5,37.5 (2.5),10.5,n/a,n/a,13.5
"August 2/3 & 9/10, 2014",38,37.5 (2.5),11,n/a,n/a,13.5
"July 19/20 & 26/27, 2014",39,38 (2),10.5,n/a,n/a,12.5
"July 5/6 & 12/13, 2014",38.5,34 (2),11.5,n/a,n/a,16
"June 21/22 & 28/29, 2014",36.5,35 (2.5),12,n/a,n/a,16.5
"June 14/15, 2014",38,36.5 (2),12,n/a,n/a,13.5
"June 7/8, 2014",42,33 (1.5),12,n/a,n/a,13
"May 24/25 & 31/ June 1, 2014",38,35 (2),11,n/a,n/a,16
"May 17/18, 2014",38.5,35 (2),12,n/a,n/a,14.5
"April 26/27 & May 3/4, 2014",37,37.5 (2),12,n/a,n/a,13.5
"April 12/13 & 19/20, 2014",34,38.5 (2),13,n/a,n/a,14.5
"March 29/30 & April 5/6, 2014",34.5,38.5 (2),12,n/a,n/a,15
"March 15/16 & 22/23, 2014",38.5,38 (2),11,n/a,n/a,12.5
"March 1/2 & 8/9, 2014",37,39.5 (2),12,n/a,n/a,11.5
"February 15/16 & 22/23, 2014",35.5,41 (2.5),10.5,n/a,n/a,13
"February 1/2 & 8/9, 2014",37,40.5 (2),10.5,n/a,n/a,12
"January 18/19 & 25/26, 2014",37,39.5 (2),11.5,n/a,n/a,12
"January 4/5 & 11/12, 2014",38,39 (2),10.5,n/a,n/a,12.5
2014
"December 7/8 & 14/15, 2013 (Multi-mode)",38.5,40.5 (2),10,n/a,n/a,11
"November 30/ December 1, 2013 (Multi-mode)",38.5,41.5 (2),8.5,n/a,n/a,11.5
"November 16/17, 2013 (Multi-mode)",32.5,42.5 (2.5),11,n/a,n/a,14
"November 2/3, 2013 (Multi-mode)",35,41.5 (1.5),10.5,n/a,n/a,13
"October 19/20, 2013 (Multi-mode)",34.5,43.5 (2.5),10,n/a,n/a,12
"October 13, 2013 - Bill Shorten is elected as the new leader of the ALP over Anthony Albanese"
"October 5/6, 2013 (Multi-mode)",37,42 (2),9,n/a,n/a,12
"September 21/22, 2013 (Multi-mode)",34,43.5 (2.5),10.5,n/a,n/a,12
"September 7, 2013 - Tony Abbott leads the L-NP (53.5%) cf. ALP (46.5%) to Federal Election victory"
