,ALP,Liberal Party,National Party,Total L-NP,Total Others,Greens,Indepen-dents (ALL),Other Parties (ALL),Can’t say/ Refused
Change,+2.5,-1.5,+0.5,-1.0,-1.5,-0.5,+1.0,+0.5,+0.5
2025
May 5-31,37.0,26.5,4.5,31.0,32.0,11.5,8.5,14.5,6.0
May 3 (Federal Election),34.5,28.0,4.0,32.0,33.5,12.0,7.5,14.0,5.5
April 27,34.0,32.5,2.0,34.5,32.0,13.0,18.5*,18.5*,5.5
April 20,34.5,31.0,2.5,33.5,31.5,14.5,7.5,9.5,6.0
April 13,32.0,30.0,3.5,33.5,34.5,14.5,10.0,10.0,6.0
April 4,32.5,29.0,4.0,33.0,34.5,13.5,9.0,12.0,5.0
March 30,32.0,31.0,4.5,35.0,33.0,13.0,10.5,9.5,5.0
March 23,33.5,30.5,5.0,35.5,31.0,12.0,10.0,9.0,7.0
March 16,32.5,30.0,4.0,34.0,33.5,13.5,10.5,9.5,5.0
March 9,30.0,32.5,4.0,36.5,33.5,14.0,10.5,9.5,5.0
March 2,28.5,35.5,4.5,40.0,31.5,13.5,10.5,7.5,5.5
February 23,31.5,33.5,3.0,36.5,32.0,13.5,10.0,9.0,7.5
February 16,28.5,36.0,3.5,39.5,32.5,12.5,10.0,10.0,8.0
February 9,29.0,36.5,4.0,40.5,30.5,11.0,10.0,9.5,9.5
February 2,30.0,34.5,4.0,38.5,31.5,11.5,10.5,9.5,6.0
January 26,29.5,36.0,4.5,40.5,30.0,11.5,9.0,9.5,6.5
January 19,28.5,38.0,4.0,42.0,29.5,13.0,8.5,8.0,8.5
January 12,30.0,36.5,4.0,40.5,29.5,12.5,9.0,8.0,6.5
January 5,31.0,36.5,4.0,40.5,28.5,12.0,9.0,7.0,8.5
2024
December 15,27.5,36.5,5.0,41.0,31.5,12.5,10.5,8.5,6.5
December 8,28.0,34.5,4.0,38.0,24.0,13.0,10.0,10.5,6.0
December 1,30.0,35.0,4.0,39.0,31.0,13.0,8.5,10.0,5.5
November 24,31.5,33.5,3.5,37.0,31.5,12.5,8.5,10.5,7.0
November 17,29.0,34.5,4.0,39.0,32.0,13.5,7.5,11.0,7.5
November 10,30.5,33.5,3.5,37.5,32.0,12.5,8.5,11.0,9.5
November 3,30.5,34.5,3.5,38.0,31.5,14.0,7.5,10.0,6.5
October 27,30.0,34.5,3.0,37.5,32.5,14.0,9.0,9.5,8.0
