year,month,articles,figures
1803,1,0,0
1803,2,0,0
1803,3,0,0
1803,4,0,0
1803,5,0,0
1803,6,0,0
1803,7,0,0
1803,8,0,0
1803,9,0,0
1803,10,0,0
1803,11,0,0
1803,12,0,0
1804,1,0,0
1804,2,0,0
1804,3,0,0
1804,4,0,0
1804,5,0,0
1804,6,0,0
1804,7,0,0
1804,8,1,0
1804,9,0,0
1804,10,0,0
1804,11,0,0
1804,12,0,0
1805,1,1,0
1805,2,0,0
1805,3,0,0
1805,4,0,0
1805,5,0,0
1805,6,0,0
1805,7,0,0
1805,8,0,0
1805,9,0,0
1805,10,0,0
1805,11,0,0
1805,12,0,0
1806,1,0,0
1806,2,0,0
1806,3,0,0
1806,4,0,0
1806,5,0,0
1806,6,0,0
1806,7,0,0
1806,8,0,0
1806,9,0,0
1806,10,0,0
1806,11,0,0
1806,12,0,0
1807,1,0,0
1807,2,0,0
1807,3,0,0
1807,4,0,0
1807,5,0,0
1807,6,0,0
1807,7,0,0
1807,8,0,0
1807,9,0,0
1807,10,0,0
1807,11,0,0
1807,12,0,0
1808,1,0,0
1808,2,0,0
1808,3,0,0
1808,4,0,0
1808,5,0,0
1808,6,0,0
1808,7,0,0
1808,8,0,0
1808,9,0,0
1808,10,0,0
1808,11,0,0
1808,12,0,0
1809,1,0,0
1809,2,0,0
1809,3,0,0
1809,4,0,0
1809,5,1,0
1809,6,0,0
1809,7,0,0
1809,8,0,0
1809,9,1,0
1809,10,0,0
1809,11,0,0
1809,12,0,0
1810,1,0,0
1810,2,0,0
1810,3,0,0
1810,4,0,0
1810,5,1,0
1810,6,0,0
1810,7,0,0
1810,8,0,0
1810,9,0,0
1810,10,0,0
1810,11,0,0
1810,12,0,0
1811,1,0,0
1811,2,0,0
1811,3,0,0
1811,4,0,0
1811,5,0,0
1811,6,0,0
1811,7,1,0
1811,8,0,0
1811,9,0,0
1811,10,0,0
1811,11,0,0
1811,12,0,0
1812,1,0,0
1812,2,0,0
1812,3,0,0
1812,4,0,0
1812,5,0,0
1812,6,0,0
1812,7,0,0
1812,8,0,0
1812,9,0,0
1812,10,0,0
1812,11,0,0
1812,12,0,0
1813,1,0,0
1813,2,0,0
1813,3,0,0
1813,4,0,0
1813,5,0,0
1813,6,0,0
1813,7,0,0
1813,8,0,0
1813,9,1,0
1813,10,0,0
1813,11,1,0
1813,12,0,0
1814,1,0,0
1814,2,0,0
1814,3,1,0
1814,4,0,0
1814,5,0,0
1814,6,0,0
1814,7,0,0
1814,8,0,0
1814,9,0,0
1814,10,0,0
1814,11,0,0
1814,12,0,0
1815,1,0,0
1815,2,0,0
1815,3,0,0
1815,4,0,0
1815,5,0,0
1815,6,0,0
1815,7,0,0
1815,8,0,0
