id,date,masthead,title,page,words,pollster,url
20308804,1866-07-28,"The Queenslander (Brisbane, Qld. : 1866 - 1939)",WARWICK. July 34.,5,23,Morgan,https://trove.nla.gov.au/newspaper/article/20308804
8498290,1883-02-22,"The Argus (Melbourne, Vic. : 1848 - 1957)",THE GENERAL ELECTION.,4,4285,Saulwick,https://trove.nla.gov.au/newspaper/article/8498290
76737589,1892-06-13,"The Northern Miner (Charters Towers, Qld. : 1874 - 1954)","THE PRESIDENTIAL CAMPAIGN. LONDON, June 11.",2,114,Harrison,https://trove.nla.gov.au/newspaper/article/76737589
79294575,1892-06-15,"The North Queensland Register (Townsville, Qld. : 1892 - 1905)","THE PRESIDENTIAL CAMPAIGN. LONDON, June 11.",8,81,Harrison,https://trove.nla.gov.au/newspaper/article/79294575
98514787,1894-04-24,Goulburn Evening Penny Post (NSW : 1881 - 1940),ANOTHER ARREST.,2,387,ANOP,https://trove.nla.gov.au/newspaper/article/98514787
190019598,1894-10-17,"The Age (Melbourne, Vic. : 1854 - 1954)","GENERAL ELECTIONS IN BELGIUM. THE FIRST MANHOOD SUFFRAGE POLL LONDON, 16TH OCTOBER.",5,257,Saulwick,https://trove.nla.gov.au/newspaper/article/190019598
290035329,1896-05-26,"Evening Observer (Brisbane, Qld. : 1887 - 1907)",Local Option. A MOUNT MORGAN POLL. W.C.T.S. at Work.,5,154,Morgan,https://trove.nla.gov.au/newspaper/article/290035329
270826398,1897-08-07,Williamstown Advertiser (Vic. : 1875 - 1954),THE SEWERAGE POLL. PUBLIC MEETING TO BE HELD. DEBATE BY COUNCILLORS PROPOSED.,2,584,Saulwick,https://trove.nla.gov.au/newspaper/article/270826398
270822282,1897-08-21,Williamstown Advertiser (Vic. : 1875 - 1954),DISCUSSION AT THE COUNCIL MEETING.,2,100,Saulwick,https://trove.nla.gov.au/newspaper/article/270822282
270820446,1897-08-28,Williamstown Advertiser (Vic. : 1875 - 1954),DETAILS OF THE SEWERAGE POLL.,2,85,Saulwick,https://trove.nla.gov.au/newspaper/article/270820446
270821017,1897-09-04,Williamstown Advertiser (Vic. : 1875 - 1954),SEWERING THE TOWN. THE SEWERAGE POLL. ACTION BY THE COUNCIL.,3,212,Saulwick,https://trove.nla.gov.au/newspaper/article/270821017
52537040,1897-12-06,"Morning Bulletin (Rockhampton, Qld. : 1878 - 1954)",THE RIVER FRONTAGE POLL.,5,1301,Saulwick,https://trove.nla.gov.au/newspaper/article/52537040
52537328,1897-12-11,"Morning Bulletin (Rockhampton, Qld. : 1878 - 1954)",THE RIVER FRONTAGE POLL. TO-DAY'S VOTE. THE VOTING PAPER.,5,450,Saulwick,https://trove.nla.gov.au/newspaper/article/52537328
241855698,1899-05-01,"The Herald (Melbourne, Vic. : 1861 - 1954)","HOUSEHOLD SUFFRAGE POLL. HOW THE VOTING GOES. ADELAIDE, Monday.",4,43,Saulwick,https://trove.nla.gov.au/newspaper/article/241855698
201364275,1899-05-02,Mount Alexander Mail (Vic. : 1854 - 1917),HOUSEHOLD SUFFRAGE POLL.,3,40,Saulwick,https://trove.nla.gov.au/newspaper/article/201364275
241866375,1899-05-02,"The Herald (Melbourne, Vic. : 1861 - 1954)","HOUSEHOLD SUFFRAGE POLL. LATEST VOTING, ADELAIDE, Tuesday.",4,40,Saulwick,https://trove.nla.gov.au/newspaper/article/241866375
290776493,1901-04-02,"Daily Record (Rockhampton, Qld. : 1897 - 1922)",THE MOUNT MORGAN POLLING. (From Our Correspondent.) Mount Morean. March 31.,3,505,Morgan,https://trove.nla.gov.au/newspaper/article/290776493
174977181,1901-04-04,"The Telegraph (Brisbane, Qld. : 1872 - 1947)",Absolute and Percentage Polling.,4,291,Saulwick,https://trove.nla.gov.au/newspaper/article/174977181
174977044,1901-04-04,"The Telegraph (Brisbane, Qld. : 1872 - 1947)",Absolute and Percentage Polling.,4,286,Saulwick,https://trove.nla.gov.au/newspaper/article/174977044
4925720,1902-01-21,"The Advertiser (Adelaide, SA : 1889 - 1931)",A FATAL ACCIDENT.,5,56,Harrison,https://trove.nla.gov.au/newspaper/article/4925720
82270743,1902-03-12,Warwick Examiner and Times (Qld. : 1867 - 1919),Past Elections. WARWICK.,3,88,Morgan,https://trove.nla.gov.au/newspaper/article/82270743
176645633,1903-03-04,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",RESULT OF THE DRAINAGE POLLING. A GREAT MAJORITY FAVORS THE SCHEME,2,191,Saulwick,https://trove.nla.gov.au/newspaper/article/176645633
83635031,1903-03-07,"The Clipper (Hobart, Tas. : 1893 - 1909)",AN UGLY RUMOUR. METROPOLITAN DRAINAGE POLL.,2,455,Saulwick,https://trove.nla.gov.au/newspaper/article/83635031
201649191,1904-06-03,"The Age (Melbourne, Vic. : 1854 - 1954)",THE THREE PARTIES. THEIR RELATIVE VOTING STRENGTH.,5,169,Saulwick,https://trove.nla.gov.au/newspaper/article/201649191
268592901,1904-06-04,Rutherglen Miner and Howlong and Wahgunyah Times (Vic. : 1903 - 1912),THE THREE PARTIES.,5,212,Saulwick,https://trove.nla.gov.au/newspaper/article/268592901
70813455,1906-03-17,"Worker (Brisbane, Qld. : 1890 - 1955)",A DRASTIC REMEDY.,10,284,Saulwick,https://trove.nla.gov.au/newspaper/article/70813455
171568549,1906-03-21,"Daily Mercury (Mackay, Qld. : 1906 - 1954)",No title,2,58,Saulwick,https://trove.nla.gov.au/newspaper/article/171568549
151830120,1906-04-28,"Daily Telegraph (Launceston, Tas. : 1883 - 1928)",NOTES AND NEWS INVERMAY SEWERAGE POLL.,6,203,Saulwick,https://trove.nla.gov.au/newspaper/article/151830120
178272109,1907-06-25,Glen Innes Examiner and General Advertiser (NSW : 1874 - 1908),POLITICAL POINTS.,3,687,Morgan,https://trove.nla.gov.au/newspaper/article/178272109
45824341,1907-08-02,"Examiner (Launceston, Tas. : 1900 - 1954)","SEWERAGE SCHEME. BURNIE, Thursday.",6,48,Saulwick,https://trove.nla.gov.au/newspaper/article/45824341
65202118,1907-11-13,The North Western Advocate and the Emu Bay Times (Tas. : 1899 - 1919),SECOND SEWERAGE POLL.,2,148,Saulwick,https://trove.nla.gov.au/newspaper/article/65202118
65209054,1907-11-27,The North Western Advocate and the Emu Bay Times (Tas. : 1899 - 1919),Burnie Sewerage Poll. THE DANGER OF APATHY. TO THE EDITOR.,4,435,Saulwick,https://trove.nla.gov.au/newspaper/article/65209054
9939982,1907-12-11,"The Mercury (Hobart, Tas. : 1860 - 1954)",COUNTRY NEWS. [Correspondents will oblige by dating and signing all communications.] BURNIE.,3,2696,Saulwick,https://trove.nla.gov.au/newspaper/article/9939982
208618697,1908-01-07,"Evening Journal (Adelaide, SA : 1869 - 1912)",SEMAPHORE DEEP DRAINAGE,1,113,Saulwick,https://trove.nla.gov.au/newspaper/article/208618697
199994038,1909-03-02,"The South Eastern Times (Millicent, SA : 1906 - 1954)","PENOLA DISTRICT COUNCIL. THURSDAY, FEBRUARY 25.THE DRAINAGE POLL DISCUSSED.",3,1020,Saulwick,https://trove.nla.gov.au/newspaper/article/199994038
57517276,1909-03-29,"The Register (Adelaide, SA : 1901 - 1929)",SOUTH-EASTERN DRAINAGE POLL. TO BE TAKEN ON SATURDAY.,5,502,Saulwick,https://trove.nla.gov.au/newspaper/article/57517276
203431700,1909-03-29,"Evening Journal (Adelaide, SA : 1869 - 1912)",SOUTH - EASTERN DRAINAGE POLL TO BE TAKEN ON SATURDAY.,2,543,Saulwick,https://trove.nla.gov.au/newspaper/article/203431700
199994439,1909-03-30,"The South Eastern Times (Millicent, SA : 1906 - 1954)",THE DRAINAGE POLL. WHO MAY VOTE.,3,752,Saulwick,https://trove.nla.gov.au/newspaper/article/199994439
