date,candidate_pm,candidate_opposition,share_pm,share_opposition,uncommitted,pollster,date_basis,note,article_id,url
1953-05-03,robert_menzies,doc_evatt,52,34,14,APOP Gallup,publication-week,"Question: quite apart from party politics, which of the two do you personally prefer as Prime Minister",48292266,https://trove.nla.gov.au/newspaper/article/48292266
1982-04-15,malcolm_fraser,bill_hayden,46,38,,Morgan Gallup,printed-month,April wave from July 1982 retrospective table,126883006,https://trove.nla.gov.au/newspaper/article/126883006
1982-06-15,malcolm_fraser,bill_hayden,50,31,19,Morgan Gallup,printed-month,In your opinion who would make the better Prime Minister; 19pc undecided or named someone else,126883006,https://trove.nla.gov.au/newspaper/article/126883006
1983-01-15,malcolm_fraser,bill_hayden,50,33,,Morgan Gallup,printed-month,"January wave; Hayden fell 5pc from November, Fraser rose 6pc",116447421,https://trove.nla.gov.au/newspaper/article/116447421
1983-02-13,malcolm_fraser,bob_hawke,38,49,,Morgan Gallup,publication-week,Table printed as Hawke 49 vs Fraser 38; share_pm column keeps officeholder first,116451408,https://trove.nla.gov.au/newspaper/article/116451408
1984-02-25,bob_hawke,andrew_peacock,71,17,,Morgan Gallup,publication-week,Poll week 18-25 Feb 1984,124994750,https://trove.nla.gov.au/newspaper/article/124994750
1984-03-31,bob_hawke,andrew_peacock,,14,,Morgan Gallup,publication-week,Only Peacock's 14pc printed in 5 Apr article; Hawke's share not printed,125001431,https://trove.nla.gov.au/newspaper/article/125001431
1984-09-16,bob_hawke,andrew_peacock,73,15,,Morgan Gallup,publication-week,Weekend of 15-16 Sep 1984,136918540,https://trove.nla.gov.au/newspaper/article/136918540
1984-11-04,bob_hawke,andrew_peacock,70,18,,Morgan Gallup,publication-week,Fieldwork weekend of 3-4 Nov 1984,122528594,https://trove.nla.gov.au/newspaper/article/122528594
1985-04-06,bob_hawke,andrew_peacock,60,,,Morgan Gallup,publication-week,Only Hawke's 60pc printed in 25 Apr 1985 article,122474895,https://trove.nla.gov.au/newspaper/article/122474895
1985-04-30,bob_hawke,andrew_peacock,61,27,,Morgan Gallup,publication-week,Published 9 May 1985,127008418,https://trove.nla.gov.au/newspaper/article/127008418
1985-08-07,bob_hawke,andrew_peacock,57,30,,Morgan Gallup,publication-week,Weekends of late Jul and early Aug 1985,122522652,https://trove.nla.gov.au/newspaper/article/122522652
