date,election,alp,coalition,lib,nat,greens,one_nation,nxt,family_first,democrats,independents,other_parties,other,undecided,mode,dlp,pollster,date_basis,note,article_id,url
1943-05-15,,38,35,,,,,,,,,,27,,,,APOP Gallup,printed-month,'Others' column includes undecided; UAP-CP mapped to coalition,46765952,https://trove.nla.gov.au/newspaper/article/46765952
1943-06-15,,37,31,,,,,,,,,,32,,,,APOP Gallup,printed-month,'Others' column includes undecided; UAP-CP mapped to coalition,46765952,https://trove.nla.gov.au/newspaper/article/46765952
1943-08-14,,46,42,,,,,,,,,,12,,,,APOP Gallup,publication-week,Poll taken after 31 Jul nominations closed; 12pc others includes undecided,46765952,https://trove.nla.gov.au/newspaper/article/46765952
1943-08-20,,45,38,,,,,,,,,,17,,,,APOP Gallup,publication-week,Election-eve civilian first-preference forecast; 'other candidates' as printed,48764264,https://trove.nla.gov.au/newspaper/article/48764264
1946-06-15,,48,38,,,,,,,,3,,,11,,,APOP Gallup,printed-month,Fourth 1946 Gallup wave; Labor about level with 1943 vote,245555262,https://trove.nla.gov.au/newspaper/article/245555262
1946-07-15,,46,36,,,,,,,,4,,,14,,,APOP Gallup,printed-month,Fieldwork end of July; undecided 14pc the swing decider,35709749,https://trove.nla.gov.au/newspaper/article/35709749
1946-09-27,,54,44,,,,,,,,2,,,,,,APOP Gallup,publication-week,Election-eve (28 Sep) poll; responses of decided voters only (all except 84 of ~2000),78267350,https://trove.nla.gov.au/newspaper/article/78267350
1949-05-15,,43,39,,,,,,,,2,,,16,,,APOP Gallup,printed-month,,231052482,https://trove.nla.gov.au/newspaper/article/231052482
1949-06-15,,42,43,,,,,,,,2,,,13,,,APOP Gallup,printed-month,,231052482,https://trove.nla.gov.au/newspaper/article/231052482
1949-07-15,,40,46,,,,,,,,2,,,12,,,APOP Gallup,printed-month,Wave labelled August in Sun 21 Aug table but figures match July wave in Sun 10 Oct 1949 trend table,231052482,https://trove.nla.gov.au/newspaper/article/231052482
1949-09-25,,43,46,,,,,,,,2,,,9,,,APOP Gallup,printed-month,"Taken second half of September (post-Budget, pre-devaluation)",279517740,https://trove.nla.gov.au/newspaper/article/279517740
1949-11-12,,46,52,,,,,,,,,,2,,,,APOP Gallup,printed-month,"Gallup final estimate, undecided allocated by 1946 vote; 11-13 Nov fieldwork",230739836,https://trove.nla.gov.au/newspaper/article/230739836
1949-12-03,,44,48,,,,,,,,2,,,6,,,APOP Gallup,publication-week,Raw intentions weekend before 10 Dec election; allocated estimate was LCP50 Lab48,230739836,https://trove.nla.gov.au/newspaper/article/230739836
