date,firm,albanese,dutton
2022-07-30,Newspoll,59,25
2022-08-21,Resolve,55,17
2022-09-03,Newspoll,61,22
2022-09-18,Resolve,53,19
2022-10-09,Resolve,53,18
2022-10-30,Newspoll,54,27
2022-10-30,Resolve,53,19
2022-12-03,Newspoll,59,24
2022-12-04,Resolve,54,19
2022-12-18,Freshwater,55,29
2023-01-22,Resolve,55,20
2023-02-04,Newspoll,56,26
2023-02-19,Resolve,55,23
2023-03-04,Newspoll,54,28
2023-03-16,Resolve,51,22
2023-04-01,Newspoll,58,26
2023-04-16,Resolve,55,21
2023-04-22,Newspoll,54,28
2023-05-13,Newspoll,56,29
2023-05-13,Resolve,53,20
2023-05-17,Freshwater,51,33
2023-06-03,Newspoll,55,28
2023-06-11,Resolve,53,22
2023-06-24,Newspoll,52,32
2023-07-15,Resolve,51,21
2023-07-15,Newspoll,54,29
2023-08-13,Resolve,46,25
2023-09-01,Newspoll,50,31
2023-09-09,Resolve,43,28
2023-09-22,Newspoll,50,30
2023-09-24,Freshwater,46,37
2023-09-29,YouGov,50,33
2023-10-04,Resolve,47,25
2023-10-06,Newspoll,50,33
2023-10-10,YouGov,50,34
2023-10-12,Newspoll,51,31
2023-11-03,Newspoll,46,36
2023-11-05,Resolve,40,27
2023-11-14,YouGov,48,34
2023-11-24,Newspoll,46,35
2023-12-03,Resolve,42,28
2023-12-05,YouGov,46,36
2023-12-15,Newspoll,46,35
2023-12-17,Freshwater,43,39
2024-01-11,Freshwater,47,38
2024-01-17,YouGov,45,35
2024-02-03,Newspoll,46,35
2024-02-07,YouGov,45,38
2024-02-18,Freshwater,42,38
2024-02-23,Newspoll,47,35
2024-02-24,Resolve,39,32
2024-03-05,YouGov,48,34
2024-03-10,Freshwater,47,38
2024-03-22,Newspoll,48,34
2024-03-24,Resolve,40,30
2024-03-27,YouGov,46,34
2024-04-14,Freshwater,45,39
2024-04-18,Newspoll,48,35
2024-04-21,Resolve,41,32
2024-05-14,YouGov,44,37
2024-05-18,Newspoll,52,33
2024-05-19,Freshwater,46,37
2024-05-19,Resolve,40,32
2024-06-04,YouGov,47,36
2024-06-07,Newspoll,46,38
2024-06-15,Resolve,35,36
2024-06-16,Freshwater,43,41
2024-06-28,Newspoll,46,38
2024-07-13,Resolve,34,35
2024-07-17,YouGov,45,37
2024-07-19,Newspoll,46,39
2024-07-21,Freshwater,45,39
2024-08-09,Newspoll,46,39
2024-08-11,Resolve,35,36
2024-08-18,Freshwater,45,41
2024-08-28,YouGov,43,38
2024-08-30,Newspoll,45,37
2024-09-07,Resolve,35,34
2024-09-15,Freshwater,45,41
2024-09-19,YouGov,42,39
2024-09-20,Newspoll,46,37
2024-10-05,Resolve,38,35
2024-10-11,Newspoll,45,37
2024-10-20,Freshwater,44,43
2024-11-08,Newspoll,45,41
2024-11-10,Resolve,37,37
2024-11-17,Freshwater,43,42
2024-11-21,YouGov,42,39
2024-12-06,Newspoll,45,38
2024-12-08,Resolve,35,35
2024-12-15,Freshwater,46,43
2025-01-15,YouGov,44,40
2025-01-19,Freshwater,43,43
2025-01-21,Resolve,34,39
2025-01-24,Newspoll,44,41
2025-02-14,Newspoll,45,40
2025-02-23,Freshwater,45,43
2025-02-23,Resolve,35,39
2025-02-27,YouGov,42,40
2025-03-06,YouGov,45,39
2025-03-07,Freshwater,39,39
2025-03-07,Newspoll,47,38
2025-03-13,YouGov,45,39
2025-03-15,Freshwater,46,42
2025-03-19,YouGov,45,40
2025-03-21,DemosAU,40,37
2025-03-29,DemosAU,39,38
2025-03-29,Newspoll,49,38
2025-03-30,Freshwater,46,45
2025-03-30,Resolve,42,33
2025-04-03,YouGov,45,38
2025-04-04,Newspoll,48,40
2025-04-10,Newspoll,49,38
2025-04-10,YouGov,48,37
2025-04-13,Resolve,46,30
2025-04-15,YouGov,48,38
2025-04-16,Freshwater,45,41
2025-04-17,Newspoll,52,36
2025-04-22,YouGov,50,35
2025-04-23,DemosAU,43,34
2025-04-24,Newspoll,51,35
2025-04-28,Spectre Strategy,47,35
2025-04-28,Resolve,47,31
2025-04-30,DemosAU,46,34
2025-05-01,Freshwater,49,39
2025-05-01,Newspoll,51,35
2025-05-01,YouGov,51,34
2025-05-02,Ipsos,48,34
